queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1950,2025-09-05T14:36:39.487Z,20250905_143639_00000_me6ff,1.95s,FINISHED
Q10,sf100,8470,2025-09-05T14:38:49.543Z,20250905_143849_00009_me6ff,8.47s,FINISHED
Q11,sf100,2430,2025-09-05T14:38:58.835Z,20250905_143858_00010_me6ff,2.43s,FINISHED
Q12,sf100,2650,2025-09-05T14:39:02.089Z,20250905_143901_00011_me6ff,2.65s,FINISHED
Q13,sf100,1880,2025-09-05T14:39:05.582Z,20250905_143905_00012_me6ff,1.88s,FINISHED
Q14,sf100,837,2025-09-05T14:39:08.305Z,20250905_143908_00013_me6ff,837.98ms,FINISHED
Q15,sf100,6620,2025-09-05T14:39:10.004Z,20250905_143909_00014_me6ff,6.62s,FINISHED
Q16,sf100,3170,2025-09-05T14:39:17.436Z,20250905_143917_00015_me6ff,3.17s,FINISHED
Q17,sf100,15730,2025-09-05T14:39:23.997Z,20250905_143923_00016_me6ff,15.73s,FINISHED
Q18,sf100,40420,2025-09-05T14:39:40.533Z,20250905_143940_00017_me6ff,40.42s,FINISHED
Q19,sf100,1380,2025-09-05T14:40:21.768Z,20250905_144021_00018_me6ff,1.38s,FINISHED
Q2,sf100,4730,2025-09-05T14:36:42.285Z,20250905_143642_00001_me6ff,4.73s,FINISHED
Q20,sf100,3590,2025-09-05T14:40:23.937Z,20250905_144023_00019_me6ff,3.59s,FINISHED
Q21,sf100,26310,2025-09-05T14:40:28.510Z,20250905_144028_00020_me6ff,26.31s,FINISHED
Q22,sf100,754,2025-09-05T14:40:55.632Z,20250905_144055_00021_me6ff,754.19ms,FINISHED
Q3,sf100,5880,2025-09-05T14:36:47.862Z,20250905_143647_00002_me6ff,5.88s,FINISHED
Q4,sf100,1200,2025-09-05T14:36:54.545Z,20250905_143654_00003_me6ff,1.20s,FINISHED
Q5,sf100,13740,2025-09-05T14:36:56.580Z,20250905_143656_00004_me6ff,13.74s,FINISHED
Q6,sf100,543,2025-09-05T14:37:11.144Z,20250905_143710_00005_me6ff,543.64ms,FINISHED
Q7,sf100,6490,2025-09-05T14:37:12.530Z,20250905_143712_00006_me6ff,6.49s,FINISHED
Q8,sf100,31240,2025-09-05T14:37:19.854Z,20250905_143719_00007_me6ff,31.24s,FINISHED
Q9,sf100,56720,2025-09-05T14:37:51.998Z,20250905_143751_00008_me6ff,56.72s,FINISHED
