queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1520,2025-09-03T13:04:16.299Z,20250903_130415_00000_mpgne,1.52s,FINISHED
Q10,sf100,4550,2025-09-03T13:05:53.549Z,20250903_130553_00009_mpgne,4.55s,FINISHED
Q11,sf100,1360,2025-09-03T13:06:01.925Z,20250903_130601_00010_mpgne,1.36s,FINISHED
Q12,sf100,1410,2025-09-03T13:06:07.095Z,20250903_130606_00011_mpgne,1.41s,FINISHED
Q13,sf100,3060,2025-09-03T13:06:12.337Z,20250903_130612_00012_mpgne,3.06s,FINISHED
Q14,sf100,662,2025-09-03T13:06:19.267Z,20250903_130619_00013_mpgne,662.31ms,FINISHED
Q15,sf100,4080,2025-09-03T13:06:23.775Z,20250903_130623_00014_mpgne,4.08s,FINISHED
Q16,sf100,2110,2025-09-03T13:06:31.669Z,20250903_130631_00015_mpgne,2.11s,FINISHED
Q17,sf100,5710,2025-09-03T13:06:38.523Z,20250903_130638_00016_mpgne,5.71s,FINISHED
Q18,sf100,10680,2025-09-03T13:06:48.065Z,20250903_130647_00017_mpgne,10.68s,FINISHED
Q19,sf100,1060,2025-09-03T13:07:02.577Z,20250903_130702_00018_mpgne,1.06s,FINISHED
Q2,sf100,3000,2025-09-03T13:04:21.676Z,20250903_130421_00001_mpgne,3.00s,FINISHED
Q20,sf100,1200,2025-09-03T13:07:07.461Z,20250903_130707_00019_mpgne,1.20s,FINISHED
Q21,sf100,30900,2025-09-03T13:07:12.555Z,20250903_130712_00020_mpgne,30.90s,FINISHED
Q22,sf100,1160,2025-09-03T13:07:47.278Z,20250903_130747_00021_mpgne,1.16s,FINISHED
Q3,sf100,2880,2025-09-03T13:04:28.499Z,20250903_130428_00002_mpgne,2.88s,FINISHED
Q4,sf100,806,2025-09-03T13:04:35.204Z,20250903_130435_00003_mpgne,806.72ms,FINISHED
Q5,sf100,7290,2025-09-03T13:04:39.874Z,20250903_130439_00004_mpgne,7.29s,FINISHED
Q6,sf100,498,2025-09-03T13:04:50.986Z,20250903_130450_00005_mpgne,498.07ms,FINISHED
Q7,sf100,3400,2025-09-03T13:04:55.297Z,20250903_130455_00006_mpgne,3.40s,FINISHED
Q8,sf100,14730,2025-09-03T13:05:02.533Z,20250903_130502_00007_mpgne,14.73s,FINISHED
Q9,sf100,28610,2025-09-03T13:05:21.087Z,20250903_130520_00008_mpgne,28.61s,FINISHED
