queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,5380,2025-09-19T14:29:40.881Z,20250919_142940_00000_fc42f,5.38s,FINISHED
Q10,sf1000,9780,2025-09-19T14:30:30.494Z,20250919_143030_00007_fc42f,9.78s,FINISHED
Q11,sf1000,1820,2025-09-19T14:30:41.104Z,20250919_143040_00008_fc42f,1.82s,FINISHED
Q12,sf1000,4090,2025-09-19T14:30:43.739Z,20250919_143043_00009_fc42f,4.09s,FINISHED
Q13,sf1000,4860,2025-09-19T14:30:48.630Z,20250919_143048_00010_fc42f,4.86s,FINISHED
Q14,sf1000,4520,2025-09-19T14:30:54.311Z,20250919_143054_00011_fc42f,4.52s,FINISHED
Q15,sf1000,9470,2025-09-19T14:30:59.675Z,20250919_143059_00012_fc42f,9.47s,FINISHED
Q16,sf1000,3010,2025-09-19T14:31:10.008Z,20250919_143109_00013_fc42f,3.01s,FINISHED
Q17,sf1000,6830,2025-09-19T14:31:15.409Z,20250919_143115_00014_fc42f,6.83s,FINISHED
Q19,sf1000,8480,2025-09-19T14:31:23.071Z,20250919_143122_00015_fc42f,8.48s,FINISHED
Q2,sf1000,4640,2025-09-19T14:29:47.100Z,20250919_142946_00001_fc42f,4.64s,FINISHED
Q20,sf1000,7040,2025-09-19T14:31:32.388Z,20250919_143132_00016_fc42f,7.04s,FINISHED
Q22,sf1000,1830,2025-09-19T14:31:41.573Z,20250919_143141_00017_fc42f,1.83s,FINISHED
Q3,sf1000,6200,2025-09-19T14:29:52.634Z,20250919_142952_00002_fc42f,6.20s,FINISHED
Q4,sf1000,5330,2025-09-19T14:29:59.690Z,20250919_142959_00003_fc42f,5.33s,FINISHED
Q5,sf1000,11230,2025-09-19T14:30:05.820Z,20250919_143005_00004_fc42f,11.23s,FINISHED
Q6,sf1000,3020,2025-09-19T14:30:17.887Z,20250919_143017_00005_fc42f,3.02s,FINISHED
Q7,sf1000,7940,2025-09-19T14:30:21.721Z,20250919_143021_00006_fc42f,7.94s,FINISHED
