queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,8430,2025-09-10T12:38:37.554Z,20250910_123837_00017_9pwrb,8.43s,FINISHED
Q10,sf1000,15960,2025-09-10T12:36:08.070Z,20250910_123607_00007_9pwrb,15.96s,FINISHED
Q11,sf1000,2890,2025-09-10T12:36:27.896Z,20250910_123627_00008_9pwrb,2.89s,FINISHED
Q12,sf1000,9210,2025-09-10T12:36:34.631Z,20250910_123634_00009_9pwrb,9.21s,FINISHED
Q13,sf1000,9250,2025-09-10T12:36:47.686Z,20250910_123647_00010_9pwrb,9.25s,FINISHED
Q14,sf1000,9430,2025-09-10T12:37:00.769Z,20250910_123700_00011_9pwrb,9.43s,FINISHED
Q15,sf1000,15980,2025-09-10T12:37:14.042Z,20250910_123713_00012_9pwrb,15.98s,FINISHED
Q16,sf1000,3120,2025-09-10T12:37:33.850Z,20250910_123733_00013_9pwrb,3.12s,FINISHED
Q19,sf1000,14800,2025-09-10T12:37:41.796Z,20250910_123741_00014_9pwrb,14.80s,FINISHED
Q2,sf1000,5630,2025-09-10T12:38:49.825Z,20250910_123849_00018_9pwrb,5.63s,FINISHED
Q20,sf1000,16950,2025-09-10T12:38:00.412Z,20250910_123800_00015_9pwrb,16.95s,FINISHED
Q22,sf1000,1870,2025-09-10T12:38:21.894Z,20250910_123821_00016_9pwrb,1.87s,FINISHED
Q3,sf1000,13730,2025-09-10T12:34:42.981Z,20250910_123442_00002_9pwrb,13.73s,FINISHED
Q4,sf1000,51220,2025-09-10T12:39:14.896Z,20250910_123914_00020_9pwrb,51.22s,FAILED
Q4,sf1000,7180,2025-09-10T12:35:00.564Z,20250910_123500_00003_9pwrb,7.18s,FINISHED
Q5,sf1000,21530,2025-09-10T12:35:11.584Z,20250910_123511_00004_9pwrb,21.53s,FINISHED
Q6,sf1000,5510,2025-09-10T12:35:36.920Z,20250910_123536_00005_9pwrb,5.51s,FINISHED
Q7,sf1000,18000,2025-09-10T12:35:46.245Z,20250910_123546_00006_9pwrb,18.00s,FINISHED
