queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1320,2025-09-09T12:52:42.242Z,20250909_125241_00000_3b4rs,1.32s,FINISHED
Q10,sf100,1370,2025-09-09T12:53:33.547Z,20250909_125333_00009_3b4rs,1.37s,FINISHED
Q11,sf100,553,2025-09-09T12:53:38.733Z,20250909_125338_00010_3b4rs,553.48ms,FINISHED
Q12,sf100,667,2025-09-09T12:53:43.135Z,20250909_125342_00011_3b4rs,667.92ms,FINISHED
Q13,sf100,871,2025-09-09T12:53:47.640Z,20250909_125347_00012_3b4rs,871.39ms,FINISHED
Q14,sf100,591,2025-09-09T12:53:52.326Z,20250909_125352_00013_3b4rs,591.55ms,FINISHED
Q15,sf100,1330,2025-09-09T12:53:56.747Z,20250909_125356_00014_3b4rs,1.33s,FINISHED
Q16,sf100,690,2025-09-09T12:54:01.912Z,20250909_125401_00015_3b4rs,690.32ms,FINISHED
Q17,sf100,1100,2025-09-09T12:54:07.421Z,20250909_125407_00016_3b4rs,1.10s,FINISHED
Q18,sf100,2170,2025-09-09T12:54:12.355Z,20250909_125412_00017_3b4rs,2.17s,FINISHED
Q19,sf100,748,2025-09-09T12:54:18.351Z,20250909_125418_00018_3b4rs,748.39ms,FINISHED
Q2,sf100,1450,2025-09-09T12:52:47.428Z,20250909_125247_00001_3b4rs,1.45s,FINISHED
Q20,sf100,1170,2025-09-09T12:54:22.956Z,20250909_125422_00019_3b4rs,1.17s,FINISHED
Q21,sf100,3090,2025-09-09T12:54:28.101Z,20250909_125427_00020_3b4rs,3.09s,FINISHED
Q22,sf100,496,2025-09-09T12:54:34.995Z,20250909_125434_00021_3b4rs,496.21ms,FINISHED
Q3,sf100,1110,2025-09-09T12:52:52.750Z,20250909_125252_00002_3b4rs,1.11s,FINISHED
Q4,sf100,606,2025-09-09T12:52:57.656Z,20250909_125257_00003_3b4rs,606.86ms,FINISHED
Q5,sf100,1710,2025-09-09T12:53:02.106Z,20250909_125301_00004_3b4rs,1.71s,FINISHED
Q6,sf100,457,2025-09-09T12:53:07.632Z,20250909_125307_00005_3b4rs,457.41ms,FINISHED
Q7,sf100,1470,2025-09-09T12:53:11.908Z,20250909_125311_00006_3b4rs,1.47s,FINISHED
Q8,sf100,4250,2025-09-09T12:53:17.202Z,20250909_125317_00007_3b4rs,4.25s,FINISHED
Q9,sf100,4460,2025-09-09T12:53:25.270Z,20250909_125325_00008_3b4rs,4.46s,FINISHED
