queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3690,2025-09-23T14:59:51.552Z,20250923_145951_00000_eu8v4,3.69s,FINISHED
Q10,sf100,3900,2025-09-23T15:01:05.712Z,20250923_150105_00009_eu8v4,3.90s,FINISHED
Q11,sf100,11150,2025-09-23T15:01:14.151Z,20250923_150113_00010_eu8v4,11.15s,FINISHED
Q12,sf100,3910,2025-09-23T15:01:47.199Z,20250923_150146_00011_eu8v4,3.91s,FINISHED
Q13,sf100,4730,2025-09-23T15:01:55.628Z,20250923_150155_00012_eu8v4,4.73s,FINISHED
Q14,sf100,2380,2025-09-23T15:02:04.855Z,20250923_150204_00013_eu8v4,2.38s,FINISHED
Q15,sf100,3750,2025-09-23T15:02:11.769Z,20250923_150211_00014_eu8v4,3.75s,FINISHED
Q16,sf100,1890,2025-09-23T15:02:19.887Z,20250923_150219_00015_eu8v4,1.89s,FINISHED
Q17,sf100,2770,2025-09-23T15:02:28.609Z,20250923_150228_00016_eu8v4,2.77s,FINISHED
Q18,sf100,3520,2025-09-23T15:02:35.886Z,20250923_150235_00017_eu8v4,3.52s,FINISHED
Q19,sf100,2230,2025-09-23T15:02:44.125Z,20250923_150243_00018_eu8v4,2.23s,FINISHED
Q2,sf100,2920,2025-09-23T14:59:59.790Z,20250923_145959_00001_eu8v4,2.92s,FINISHED
Q20,sf100,3110,2025-09-23T15:02:50.869Z,20250923_150250_00019_eu8v4,3.11s,FINISHED
Q21,sf100,5690,2025-09-23T15:02:58.488Z,20250923_150258_00020_eu8v4,5.69s,FINISHED
Q22,sf100,1400,2025-09-23T15:03:08.897Z,20250923_150308_00021_eu8v4,1.40s,FINISHED
Q3,sf100,4910,2025-09-23T15:00:07.450Z,20250923_150007_00002_eu8v4,4.91s,FINISHED
Q4,sf100,2250,2025-09-23T15:00:16.743Z,20250923_150016_00003_eu8v4,2.25s,FINISHED
Q5,sf100,4860,2025-09-23T15:00:23.535Z,20250923_150023_00004_eu8v4,4.86s,FINISHED
Q6,sf100,1410,2025-09-23T15:00:33.113Z,20250923_150032_00005_eu8v4,1.41s,FINISHED
Q7,sf100,3070,2025-09-23T15:00:39.054Z,20250923_150038_00006_eu8v4,3.07s,FINISHED
Q8,sf100,4850,2025-09-23T15:00:46.834Z,20250923_150046_00007_eu8v4,4.85s,FINISHED
Q9,sf100,5150,2025-09-23T15:00:56.200Z,20250923_150055_00008_eu8v4,5.15s,FINISHED
