queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf200,19490,2025-09-25T07:52:45.735Z,20250925_075245_00000_t47w5,19.49s,FINISHED
Q10,sf200,18940,2025-09-25T07:56:23.646Z,20250925_075623_00009_t47w5,18.94s,FINISHED
Q11,sf200,32250,2025-09-25T07:56:47.301Z,20250925_075646_00010_t47w5,32.25s,FINISHED
Q12,sf200,27350,2025-09-25T07:57:37.388Z,20250925_075737_00011_t47w5,27.35s,FINISHED
Q13,sf200,6570,2025-09-25T07:58:09.256Z,20250925_075808_00012_t47w5,6.57s,FINISHED
Q14,sf200,17250,2025-09-25T07:58:20.417Z,20250925_075820_00013_t47w5,17.25s,FINISHED
Q15,sf200,18550,2025-09-25T07:58:42.189Z,20250925_075841_00014_t47w5,18.55s,FINISHED
Q16,sf200,5160,2025-09-25T07:59:05.535Z,20250925_075905_00015_t47w5,5.16s,FINISHED
Q17,sf200,19340,2025-09-25T07:59:17.397Z,20250925_075917_00016_t47w5,19.34s,FINISHED
Q18,sf200,24700,2025-09-25T07:59:41.264Z,20250925_075940_00017_t47w5,24.70s,FINISHED
Q19,sf200,15000,2025-09-25T08:00:10.686Z,20250925_080010_00018_t47w5,15.00s,FINISHED
Q2,sf200,14440,2025-09-25T07:53:09.757Z,20250925_075309_00001_t47w5,14.44s,FINISHED
Q20,sf200,19290,2025-09-25T08:00:30.222Z,20250925_080029_00019_t47w5,19.29s,FINISHED
Q21,sf200,42910,2025-09-25T08:00:54.008Z,20250925_080053_00020_t47w5,42.91s,FINISHED
Q22,sf200,4490,2025-09-25T08:01:41.573Z,20250925_080141_00021_t47w5,4.49s,FINISHED
Q3,sf200,33230,2025-09-25T07:53:28.941Z,20250925_075328_00002_t47w5,33.23s,FINISHED
Q4,sf200,18570,2025-09-25T07:54:06.691Z,20250925_075406_00003_t47w5,18.57s,FINISHED
Q5,sf200,20180,2025-09-25T07:54:29.790Z,20250925_075429_00004_t47w5,20.18s,FINISHED
Q6,sf200,16140,2025-09-25T07:54:54.677Z,20250925_075454_00005_t47w5,16.14s,FINISHED
Q7,sf200,30730,2025-09-25T07:55:15.453Z,20250925_075515_00006_t47w5,30.73s,FINISHED
Q8,sf200,2320,2025-09-25T07:55:50.918Z,20250925_075550_00007_t47w5,2.32s,FAILED
Q9,sf200,21290,2025-09-25T07:55:57.783Z,20250925_075557_00008_t47w5,21.29s,FINISHED
