queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf200,10470,2025-09-25T07:28:04.285Z,20250925_072803_00000_2w465,10.47s,FINISHED
Q10,sf200,19400,2025-09-25T07:31:38.621Z,20250925_073138_00009_2w465,19.40s,FINISHED
Q11,sf200,32390,2025-09-25T07:32:02.537Z,20250925_073202_00010_2w465,32.39s,FINISHED
Q12,sf200,24080,2025-09-25T07:32:52.642Z,20250925_073252_00011_2w465,24.08s,FINISHED
Q13,sf200,7120,2025-09-25T07:33:21.244Z,20250925_073320_00012_2w465,7.12s,FINISHED
Q14,sf200,17720,2025-09-25T07:33:32.914Z,20250925_073332_00013_2w465,17.72s,FINISHED
Q15,sf200,21590,2025-09-25T07:33:55.203Z,20250925_073354_00014_2w465,21.59s,FINISHED
Q16,sf200,6080,2025-09-25T07:34:21.257Z,20250925_073420_00015_2w465,6.08s,FINISHED
Q17,sf200,23830,2025-09-25T07:34:33.794Z,20250925_073433_00016_2w465,23.83s,FINISHED
Q18,sf200,22490,2025-09-25T07:35:02.160Z,20250925_073501_00017_2w465,22.49s,FINISHED
Q19,sf200,14910,2025-09-25T07:35:29.380Z,20250925_073529_00018_2w465,14.91s,FINISHED
Q2,sf200,15970,2025-09-25T07:28:19.290Z,20250925_072818_00001_2w465,15.97s,FINISHED
Q20,sf200,15340,2025-09-25T07:35:48.821Z,20250925_073548_00019_2w465,15.34s,FINISHED
Q21,sf200,44330,2025-09-25T07:36:08.905Z,20250925_073608_00020_2w465,44.33s,FINISHED
Q22,sf200,5740,2025-09-25T07:36:57.710Z,20250925_073657_00021_2w465,5.74s,FINISHED
Q3,sf200,32450,2025-09-25T07:28:39.823Z,20250925_072839_00002_2w465,32.45s,FINISHED
Q4,sf200,12590,2025-09-25T07:29:16.797Z,20250925_072916_00003_2w465,12.59s,FINISHED
Q5,sf200,27030,2025-09-25T07:29:33.891Z,20250925_072933_00004_2w465,27.03s,FINISHED
Q6,sf200,14220,2025-09-25T07:30:05.607Z,20250925_073005_00005_2w465,14.22s,FINISHED
Q7,sf200,20190,2025-09-25T07:30:24.335Z,20250925_073024_00006_2w465,20.19s,FINISHED
Q8,sf200,18680,2025-09-25T07:30:49.238Z,20250925_073048_00007_2w465,18.68s,FINISHED
Q9,sf200,21330,2025-09-25T07:31:12.581Z,20250925_073112_00008_2w465,21.33s,FINISHED
