queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf500,45150,2025-09-25T09:29:28.324Z,20250925_092927_00000_hj25a,45.15s,FINISHED
Q10,sf500,67200,2025-09-25T09:39:28.841Z,20250925_093928_00009_hj25a,1.12m,FINISHED
Q11,sf500,11800,2025-09-25T09:40:40.416Z,20250925_094040_00010_hj25a,11.80s,FINISHED
Q12,sf500,70199,2025-09-25T09:40:56.931Z,20250925_094056_00011_hj25a,1.17m,FINISHED
Q13,sf500,13760,2025-09-25T09:42:11.433Z,20250925_094211_00012_hj25a,13.76s,FINISHED
Q14,sf500,53340,2025-09-25T09:42:29.693Z,20250925_094229_00013_hj25a,53.34s,FINISHED
Q15,sf500,56470,2025-09-25T09:43:27.546Z,20250925_094327_00014_hj25a,56.47s,FINISHED
Q16,sf500,10450,2025-09-25T09:44:28.723Z,20250925_094428_00015_hj25a,10.45s,FINISHED
Q17,sf500,50720,2025-09-25T09:44:45.741Z,20250925_094445_00016_hj25a,50.72s,FINISHED
Q18,sf500,51650,2025-09-25T09:45:40.986Z,20250925_094540_00017_hj25a,51.65s,FINISHED
Q19,sf500,33000,2025-09-25T09:46:37.355Z,20250925_094637_00018_hj25a,33.00s,FINISHED
Q2,sf500,26320,2025-09-25T09:30:18.037Z,20250925_093017_00001_hj25a,26.32s,FINISHED
Q20,sf500,37340,2025-09-25T09:47:14.894Z,20250925_094714_00019_hj25a,37.34s,FINISHED
Q21,sf500,78000,2025-09-25T09:47:56.919Z,20250925_094756_00020_hj25a,1.30m,FAILED
Q22,sf500,24860,2025-09-25T09:49:19.217Z,20250925_094918_00021_hj25a,24.86s,FINISHED
Q3,sf500,117600,2025-09-25T09:30:48.992Z,20250925_093048_00002_hj25a,1.96m,FINISHED
Q4,sf500,56550,2025-09-25T09:32:50.882Z,20250925_093250_00003_hj25a,56.55s,FINISHED
Q5,sf500,73800,2025-09-25T09:33:51.938Z,20250925_093351_00004_hj25a,1.23m,FINISHED
Q6,sf500,53170,2025-09-25T09:35:10.843Z,20250925_093510_00005_hj25a,53.17s,FINISHED
Q7,sf500,72600,2025-09-25T09:36:08.524Z,20250925_093608_00006_hj25a,1.21m,FINISHED
Q8,sf500,50690,2025-09-25T09:37:25.677Z,20250925_093725_00007_hj25a,50.69s,FINISHED
Q9,sf500,63000,2025-09-25T09:38:21.104Z,20250925_093820_00008_hj25a,1.05m,FINISHED
