queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,2780,2025-09-24T11:45:20.989Z,20250924_114520_00000_nimt7,2.78s,FINISHED
Q10,sf100,2670,2025-09-24T11:46:29.451Z,20250924_114629_00009_nimt7,2.67s,FINISHED
Q11,sf100,2150,2025-09-24T11:46:36.689Z,20250924_114636_00010_nimt7,2.15s,FINISHED
Q12,sf100,2130,2025-09-24T11:46:43.565Z,20250924_114643_00011_nimt7,2.13s,FINISHED
Q13,sf100,3570,2025-09-24T11:46:50.241Z,20250924_114649_00012_nimt7,3.57s,FINISHED
Q14,sf100,1530,2025-09-24T11:46:58.333Z,20250924_114658_00013_nimt7,1.53s,FINISHED
Q15,sf100,2780,2025-09-24T11:47:04.373Z,20250924_114704_00014_nimt7,2.78s,FINISHED
Q16,sf100,1730,2025-09-24T11:47:11.697Z,20250924_114711_00015_nimt7,1.73s,FINISHED
Q17,sf100,2350,2025-09-24T11:47:20.402Z,20250924_114720_00016_nimt7,2.35s,FINISHED
Q18,sf100,2780,2025-09-24T11:47:27.300Z,20250924_114726_00017_nimt7,2.78s,FINISHED
Q19,sf100,1670,2025-09-24T11:47:34.662Z,20250924_114734_00018_nimt7,1.67s,FINISHED
Q2,sf100,2680,2025-09-24T11:45:28.301Z,20250924_114527_00001_nimt7,2.68s,FINISHED
Q20,sf100,2340,2025-09-24T11:47:40.881Z,20250924_114740_00019_nimt7,2.34s,FINISHED
Q21,sf100,4250,2025-09-24T11:47:47.743Z,20250924_114747_00020_nimt7,4.25s,FINISHED
Q22,sf100,1190,2025-09-24T11:47:56.696Z,20250924_114756_00021_nimt7,1.19s,FINISHED
Q3,sf100,3410,2025-09-24T11:45:35.758Z,20250924_114535_00002_nimt7,3.41s,FINISHED
Q4,sf100,1720,2025-09-24T11:45:43.705Z,20250924_114543_00003_nimt7,1.72s,FINISHED
Q5,sf100,3010,2025-09-24T11:45:49.965Z,20250924_114549_00004_nimt7,3.01s,FINISHED
Q6,sf100,1130,2025-09-24T11:45:57.693Z,20250924_114557_00005_nimt7,1.13s,FINISHED
Q7,sf100,3580,2025-09-24T11:46:03.357Z,20250924_114603_00006_nimt7,3.58s,FINISHED
Q8,sf100,3940,2025-09-24T11:46:11.659Z,20250924_114611_00007_nimt7,3.94s,FINISHED
Q9,sf100,4400,2025-09-24T11:46:20.325Z,20250924_114620_00008_nimt7,4.40s,FINISHED
