queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3690,2025-09-24T08:49:12.705Z,20250924_084912_00000_ey6p4,3.69s,FINISHED
Q10,sf100,3670,2025-09-24T08:50:25.897Z,20250924_085025_00009_ey6p4,3.67s,FINISHED
Q11,sf100,11090,2025-09-24T08:50:34.080Z,20250924_085033_00010_ey6p4,11.09s,FINISHED
Q12,sf100,2620,2025-09-24T08:51:07.795Z,20250924_085107_00011_ey6p4,2.62s,FINISHED
Q13,sf100,4370,2025-09-24T08:51:14.952Z,20250924_085114_00012_ey6p4,4.37s,FINISHED
Q14,sf100,1620,2025-09-24T08:51:23.844Z,20250924_085123_00013_ey6p4,1.62s,FINISHED
Q15,sf100,3300,2025-09-24T08:51:29.994Z,20250924_085129_00014_ey6p4,3.30s,FINISHED
Q16,sf100,1610,2025-09-24T08:51:38.031Z,20250924_085137_00015_ey6p4,1.61s,FINISHED
Q17,sf100,2430,2025-09-24T08:51:46.490Z,20250924_085146_00016_ey6p4,2.43s,FINISHED
Q18,sf100,3210,2025-09-24T08:51:53.454Z,20250924_085153_00017_ey6p4,3.21s,FINISHED
Q19,sf100,1850,2025-09-24T08:52:01.411Z,20250924_085201_00018_ey6p4,1.85s,FINISHED
Q2,sf100,2920,2025-09-24T08:49:20.938Z,20250924_084920_00001_ey6p4,2.92s,FINISHED
Q20,sf100,2560,2025-09-24T08:52:07.824Z,20250924_085207_00019_ey6p4,2.56s,FINISHED
Q21,sf100,5390,2025-09-24T08:52:14.776Z,20250924_085214_00020_ey6p4,5.39s,FINISHED
Q22,sf100,1480,2025-09-24T08:52:24.700Z,20250924_085224_00021_ey6p4,1.48s,FINISHED
Q3,sf100,4200,2025-09-24T08:49:28.626Z,20250924_084928_00002_ey6p4,4.20s,FINISHED
Q4,sf100,2930,2025-09-24T08:49:37.363Z,20250924_084937_00003_ey6p4,2.93s,FINISHED
Q5,sf100,4080,2025-09-24T08:49:44.844Z,20250924_084944_00004_ey6p4,4.08s,FINISHED
Q6,sf100,1240,2025-09-24T08:49:53.470Z,20250924_084953_00005_ey6p4,1.24s,FINISHED
Q7,sf100,2600,2025-09-24T08:49:59.219Z,20250924_084958_00006_ey6p4,2.60s,FINISHED
Q8,sf100,4820,2025-09-24T08:50:06.244Z,20250924_085005_00007_ey6p4,4.82s,FINISHED
Q9,sf100,5520,2025-09-24T08:50:15.628Z,20250924_085015_00008_ey6p4,5.52s,FINISHED
