queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1860,2025-09-24T14:40:40.130Z,20250924_144039_00000_5a435,1.86s,FINISHED
Q10,sf100,1280,2025-09-24T14:41:29.854Z,20250924_144129_00009_5a435,1.28s,FINISHED
Q11,sf100,352,2025-09-24T14:41:34.954Z,20250924_144134_00010_5a435,352.70ms,FINISHED
Q12,sf100,453,2025-09-24T14:41:39.139Z,20250924_144139_00011_5a435,453.65ms,FINISHED
Q13,sf100,885,2025-09-24T14:41:43.441Z,20250924_144143_00012_5a435,885.67ms,FINISHED
Q14,sf100,477,2025-09-24T14:41:48.161Z,20250924_144148_00013_5a435,477.09ms,FINISHED
Q15,sf100,1300,2025-09-24T14:41:52.500Z,20250924_144152_00014_5a435,1.30s,FINISHED
Q16,sf100,715,2025-09-24T14:41:57.618Z,20250924_144157_00015_5a435,715.64ms,FINISHED
Q17,sf100,1060,2025-09-24T14:42:02.985Z,20250924_144202_00016_5a435,1.06s,FINISHED
Q18,sf100,1350,2025-09-24T14:42:07.897Z,20250924_144207_00017_5a435,1.35s,FINISHED
Q19,sf100,746,2025-09-24T14:42:13.107Z,20250924_144212_00018_5a435,746.45ms,FINISHED
Q2,sf100,1490,2025-09-24T14:40:45.831Z,20250924_144045_00001_5a435,1.49s,FINISHED
Q20,sf100,804,2025-09-24T14:42:17.715Z,20250924_144217_00019_5a435,804.57ms,FINISHED
Q21,sf100,2370,2025-09-24T14:42:22.505Z,20250924_144222_00020_5a435,2.37s,FINISHED
Q22,sf100,587,2025-09-24T14:42:28.704Z,20250924_144228_00021_5a435,587.37ms,FINISHED
Q3,sf100,749,2025-09-24T14:40:51.214Z,20250924_144051_00002_5a435,749.91ms,FINISHED
Q4,sf100,492,2025-09-24T14:40:55.811Z,20250924_144055_00003_5a435,492.19ms,FINISHED
Q5,sf100,1380,2025-09-24T14:41:00.143Z,20250924_144100_00004_5a435,1.38s,FINISHED
Q6,sf100,401,2025-09-24T14:41:05.346Z,20250924_144105_00005_5a435,401.27ms,FINISHED
Q7,sf100,868,2025-09-24T14:41:09.616Z,20250924_144109_00006_5a435,868.52ms,FINISHED
Q8,sf100,3000,2025-09-24T14:41:14.363Z,20250924_144114_00007_5a435,3.00s,FINISHED
Q9,sf100,4790,2025-09-24T14:41:21.197Z,20250924_144121_00008_5a435,4.79s,FINISHED
