queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1960,2025-09-24T12:46:01.671Z,20250924_124601_00000_2jv6w,1.96s,FINISHED
Q10,sf100,1330,2025-09-24T12:46:51.390Z,20250924_124651_00009_2jv6w,1.33s,FINISHED
Q11,sf100,382,2025-09-24T12:46:56.510Z,20250924_124656_00010_2jv6w,382.99ms,FINISHED
Q12,sf100,512,2025-09-24T12:47:02.775Z,20250924_124702_00011_2jv6w,512.50ms,FINISHED
Q13,sf100,778,2025-09-24T12:47:07.158Z,20250924_124707_00012_2jv6w,778.04ms,FINISHED
Q14,sf100,502,2025-09-24T12:47:11.784Z,20250924_124711_00013_2jv6w,502.45ms,FINISHED
Q15,sf100,1250,2025-09-24T12:47:16.102Z,20250924_124715_00014_2jv6w,1.25s,FINISHED
Q16,sf100,676,2025-09-24T12:47:21.153Z,20250924_124721_00015_2jv6w,676.32ms,FINISHED
Q17,sf100,863,2025-09-24T12:47:26.487Z,20250924_124726_00016_2jv6w,863.53ms,FINISHED
Q18,sf100,1160,2025-09-24T12:47:31.185Z,20250924_124731_00017_2jv6w,1.16s,FINISHED
Q19,sf100,824,2025-09-24T12:47:36.187Z,20250924_124736_00018_2jv6w,824.53ms,FINISHED
Q2,sf100,1580,2025-09-24T12:46:07.435Z,20250924_124607_00001_2jv6w,1.58s,FINISHED
Q20,sf100,822,2025-09-24T12:47:40.871Z,20250924_124740_00019_2jv6w,822.59ms,FINISHED
Q21,sf100,2410,2025-09-24T12:47:45.647Z,20250924_124745_00020_2jv6w,2.41s,FINISHED
Q22,sf100,637,2025-09-24T12:47:51.882Z,20250924_124751_00021_2jv6w,637.13ms,FINISHED
Q3,sf100,879,2025-09-24T12:46:12.853Z,20250924_124612_00002_2jv6w,879.26ms,FINISHED
Q4,sf100,515,2025-09-24T12:46:17.569Z,20250924_124617_00003_2jv6w,515.46ms,FINISHED
Q5,sf100,1280,2025-09-24T12:46:21.902Z,20250924_124621_00004_2jv6w,1.28s,FINISHED
Q6,sf100,447,2025-09-24T12:46:26.990Z,20250924_124626_00005_2jv6w,447.73ms,FINISHED
Q7,sf100,874,2025-09-24T12:46:31.260Z,20250924_124631_00006_2jv6w,874.86ms,FINISHED
Q8,sf100,3090,2025-09-24T12:46:35.969Z,20250924_124635_00007_2jv6w,3.09s,FINISHED
Q9,sf100,4740,2025-09-24T12:46:42.847Z,20250924_124642_00008_2jv6w,4.74s,FINISHED
