queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,7280,2025-12-03T11:51:45.665Z,20251203_115145_00000_nb3gk,7.28s,FINISHED
Q10,sf1000,5490,2025-12-03T11:52:43.585Z,20251203_115243_00009_nb3gk,5.49s,FINISHED
Q11,sf1000,976,2025-12-03T11:52:49.922Z,20251203_115249_00010_nb3gk,976.25ms,FINISHED
Q12,sf1000,2500,2025-12-03T11:52:51.755Z,20251203_115251_00011_nb3gk,2.50s,FINISHED
Q13,sf1000,2520,2025-12-03T11:52:55.084Z,20251203_115254_00012_nb3gk,2.52s,FINISHED
Q14,sf1000,2370,2025-12-03T11:52:58.454Z,20251203_115258_00013_nb3gk,2.37s,FINISHED
Q15,sf1000,5870,2025-12-03T11:53:01.666Z,20251203_115301_00014_nb3gk,5.87s,FINISHED
Q16,sf1000,978,2025-12-03T11:53:08.400Z,20251203_115308_00015_nb3gk,978.85ms,FINISHED
Q17,sf1000,4210,2025-12-03T11:53:10.426Z,20251203_115310_00016_nb3gk,4.21s,FINISHED
Q18,sf1000,4150,2025-12-03T11:53:15.474Z,20251203_115315_00017_nb3gk,4.15s,FINISHED
Q19,sf1000,3410,2025-12-03T11:53:20.488Z,20251203_115320_00018_nb3gk,3.41s,FINISHED
Q2,sf1000,2470,2025-12-03T11:51:53.783Z,20251203_115153_00001_nb3gk,2.47s,FINISHED
Q20,sf1000,2940,2025-12-03T11:53:24.730Z,20251203_115324_00019_nb3gk,2.94s,FINISHED
Q21,sf1000,8780,2025-12-03T11:53:28.994Z,20251203_115328_00020_nb3gk,8.78s,FINISHED
Q22,sf1000,2040,2025-12-03T11:53:38.631Z,20251203_115338_00021_nb3gk,2.04s,FINISHED
Q3,sf1000,2500,2025-12-03T11:51:57.107Z,20251203_115156_00002_nb3gk,2.50s,FINISHED
Q4,sf1000,2390,2025-12-03T11:52:00.447Z,20251203_115200_00003_nb3gk,2.39s,FINISHED
Q5,sf1000,3840,2025-12-03T11:52:03.665Z,20251203_115203_00004_nb3gk,3.84s,FINISHED
Q6,sf1000,2140,2025-12-03T11:52:08.322Z,20251203_115208_00005_nb3gk,2.14s,FINISHED
Q7,sf1000,4530,2025-12-03T11:52:11.315Z,20251203_115211_00006_nb3gk,4.53s,FINISHED
Q8,sf1000,6310,2025-12-03T11:52:16.678Z,20251203_115216_00007_nb3gk,6.31s,FINISHED
Q9,sf1000,18910,2025-12-03T11:52:23.816Z,20251203_115223_00008_nb3gk,18.91s,FINISHED
