queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,6310,2025-10-10T11:30:06.722Z,20251010_113006_00000_cximn,6.31s,FINISHED
Q10,sf1000,11850,2025-10-10T11:41:26.718Z,20251010_114126_00011_cximn,11.85s,FINISHED
Q11,sf1000,4630,2025-10-10T11:41:48.470Z,20251010_114147_00012_cximn,4.63s,FINISHED
Q12,sf1000,6930,2025-10-10T11:42:02.338Z,20251010_114201_00013_cximn,6.93s,FINISHED
Q13,sf1000,7900,2025-10-10T11:42:17.947Z,20251010_114217_00014_cximn,7.90s,FINISHED
Q14,sf1000,13500,2025-10-10T11:42:35.724Z,20251010_114235_00015_cximn,13.50s,FINISHED
Q15,sf1000,20160,2025-10-10T11:42:58.350Z,20251010_114257_00016_cximn,20.16s,FINISHED
Q16,sf1000,1410,2025-10-10T11:43:26.818Z,20251010_114326_00017_cximn,1.41s,FINISHED
Q17,sf1000,6650,2025-10-10T11:43:34.736Z,20251010_114334_00018_cximn,6.65s,FINISHED
Q18,sf1000,4910,2025-10-10T11:43:48.365Z,20251010_114348_00019_cximn,4.91s,FINISHED
Q19,sf1000,4100,2025-10-10T11:43:59.964Z,20251010_114359_00020_cximn,4.10s,FINISHED
Q2,sf1000,2340,2025-10-10T11:30:16.890Z,20251010_113016_00001_cximn,2.34s,FINISHED
Q20,sf1000,4700,2025-10-10T11:44:12.459Z,20251010_114412_00021_cximn,4.70s,FINISHED
Q21,sf1000,8780,2025-09-26T12:19:28.993Z,20250926_121928_00027_knhzw,8.78s,FINISHED
Q22,sf1000,3970,2025-10-10T11:47:29.671Z,20251010_114729_00025_cximn,3.97s,FINISHED
Q3,sf1000,2870,2025-10-10T11:30:23.101Z,20251010_113022_00002_cximn,2.87s,FINISHED
Q4,sf1000,2300,2025-10-10T11:30:29.825Z,20251010_113029_00003_cximn,2.30s,FINISHED
Q5,sf1000,4210,2025-10-10T11:30:35.954Z,20251010_113035_00004_cximn,4.21s,FINISHED
Q6,sf1000,1320,2025-10-10T11:30:44.058Z,20251010_113043_00005_cximn,1.32s,FINISHED
Q7,sf1000,4650,2025-10-10T11:30:49.199Z,20251010_113049_00006_cximn,4.65s,FINISHED
Q8,sf1000,6640,2025-10-10T11:30:57.699Z,20251010_113057_00007_cximn,6.64s,FINISHED
Q9,sf1000,18010,2025-10-10T11:31:08.176Z,20251010_113108_00008_cximn,18.01s,FINISHED
