queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3930,2025-09-26T14:50:43.546Z,20250926_145043_00000_m5ue9,3.93s,FINISHED
Q10,sf100,1030,2025-09-26T14:51:31.318Z,20250926_145131_00009_m5ue9,1.03s,FINISHED
Q11,sf100,341,2025-09-26T14:51:36.200Z,20250926_145136_00010_m5ue9,341.72ms,FINISHED
Q12,sf100,483,2025-09-26T14:51:40.378Z,20250926_145140_00011_m5ue9,483.31ms,FINISHED
Q13,sf100,709,2025-09-26T14:51:44.707Z,20250926_145144_00012_m5ue9,709.20ms,FINISHED
Q14,sf100,430,2025-09-26T14:51:49.245Z,20250926_145149_00013_m5ue9,430.39ms,FINISHED
Q15,sf100,1120,2025-09-26T14:51:53.499Z,20250926_145153_00014_m5ue9,1.12s,FINISHED
Q16,sf100,374,2025-09-26T14:51:58.453Z,20250926_145158_00015_m5ue9,374.29ms,FINISHED
Q17,sf100,712,2025-09-26T14:52:02.908Z,20250926_145202_00016_m5ue9,712.90ms,FINISHED
Q18,sf100,990,2025-09-26T14:52:07.444Z,20250926_145207_00017_m5ue9,990.20ms,FINISHED
Q19,sf100,566,2025-09-26T14:52:12.282Z,20250926_145212_00018_m5ue9,566.63ms,FINISHED
Q2,sf100,1830,2025-09-26T14:50:51.293Z,20250926_145051_00001_m5ue9,1.83s,FINISHED
Q20,sf100,606,2025-09-26T14:52:16.686Z,20250926_145216_00019_m5ue9,606.56ms,FINISHED
Q21,sf100,1180,2025-09-26T14:52:21.301Z,20250926_145221_00020_m5ue9,1.18s,FINISHED
Q22,sf100,580,2025-09-26T14:52:26.288Z,20250926_145226_00021_m5ue9,580.31ms,FINISHED
Q3,sf100,878,2025-09-26T14:50:56.963Z,20250926_145056_00002_m5ue9,878.65ms,FINISHED
Q4,sf100,451,2025-09-26T14:51:01.670Z,20250926_145101_00003_m5ue9,451.67ms,FINISHED
Q5,sf100,937,2025-09-26T14:51:05.963Z,20250926_145105_00004_m5ue9,937.66ms,FINISHED
Q6,sf100,339,2025-09-26T14:51:10.740Z,20250926_145110_00005_m5ue9,339.04ms,FINISHED
Q7,sf100,830,2025-09-26T14:51:14.916Z,20250926_145114_00006_m5ue9,830.53ms,FINISHED
Q8,sf100,1650,2025-09-26T14:51:19.586Z,20250926_145119_00007_m5ue9,1.65s,FINISHED
Q9,sf100,2410,2025-09-26T14:51:25.068Z,20250926_145124_00008_m5ue9,2.41s,FINISHED
