queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3010,2025-09-29T08:33:46.365Z,20250929_083346_00000_m2jf7,3.01s,FINISHED
Q10,sf100,1920,2025-09-29T08:34:39.332Z,20250929_083439_00009_m2jf7,1.92s,FINISHED
Q11,sf100,451,2025-09-29T08:34:45.075Z,20250929_083444_00010_m2jf7,451.86ms,FINISHED
Q12,sf100,1510,2025-09-29T08:34:49.357Z,20250929_083449_00011_m2jf7,1.51s,FINISHED
Q13,sf100,1230,2025-09-29T08:34:54.747Z,20250929_083454_00012_m2jf7,1.23s,FINISHED
Q14,sf100,1190,2025-09-29T08:34:59.827Z,20250929_083459_00013_m2jf7,1.19s,FINISHED
Q15,sf100,1880,2025-09-29T08:35:04.867Z,20250929_083504_00014_m2jf7,1.88s,FINISHED
Q16,sf100,464,2025-09-29T08:35:10.595Z,20250929_083510_00015_m2jf7,464.93ms,FINISHED
Q17,sf100,2050,2025-09-29T08:35:15.146Z,20250929_083515_00016_m2jf7,2.05s,FINISHED
Q18,sf100,1850,2025-09-29T08:35:21.020Z,20250929_083520_00017_m2jf7,1.85s,FINISHED
Q19,sf100,2050,2025-09-29T08:35:26.710Z,20250929_083526_00018_m2jf7,2.05s,FINISHED
Q2,sf100,1870,2025-09-29T08:33:53.210Z,20250929_083353_00001_m2jf7,1.87s,FINISHED
Q20,sf100,1320,2025-09-29T08:35:32.591Z,20250929_083532_00019_m2jf7,1.32s,FINISHED
Q21,sf100,2540,2025-09-29T08:35:37.915Z,20250929_083537_00020_m2jf7,2.54s,FINISHED
Q22,sf100,676,2025-09-29T08:35:44.285Z,20250929_083544_00021_m2jf7,676.56ms,FINISHED
Q3,sf100,2320,2025-09-29T08:33:58.913Z,20250929_083358_00002_m2jf7,2.32s,FINISHED
Q4,sf100,876,2025-09-29T08:34:05.079Z,20250929_083404_00003_m2jf7,876.38ms,FINISHED
Q5,sf100,1580,2025-09-29T08:34:09.802Z,20250929_083409_00004_m2jf7,1.58s,FINISHED
Q6,sf100,1640,2025-09-29T08:34:15.205Z,20250929_083415_00005_m2jf7,1.64s,FINISHED
Q7,sf100,2100,2025-09-29T08:34:20.669Z,20250929_083420_00006_m2jf7,2.10s,FINISHED
Q8,sf100,2820,2025-09-29T08:34:26.618Z,20250929_083426_00007_m2jf7,2.82s,FINISHED
Q9,sf100,2210,2025-09-29T08:34:33.256Z,20250929_083433_00008_m2jf7,2.21s,FINISHED
