queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf200,1940,2025-09-25T09:36:25.386Z,20250925_093625_00000_ecqqd,1.94s,FINISHED
Q10,sf200,2200,2025-09-25T09:37:27.911Z,20250925_093727_00009_ecqqd,2.20s,FINISHED
Q11,sf200,508,2025-09-25T09:37:33.933Z,20250925_093733_00010_ecqqd,508.41ms,FINISHED
Q12,sf200,1800,2025-09-25T09:37:38.287Z,20250925_093738_00011_ecqqd,1.80s,FINISHED
Q13,sf200,1010,2025-09-25T09:37:43.934Z,20250925_093743_00012_ecqqd,1.01s,FINISHED
Q14,sf200,1310,2025-09-25T09:37:48.782Z,20250925_093748_00013_ecqqd,1.31s,FINISHED
Q15,sf200,2370,2025-09-25T09:37:53.904Z,20250925_093753_00014_ecqqd,2.37s,FINISHED
Q16,sf200,891,2025-09-25T09:38:00.097Z,20250925_093759_00015_ecqqd,891.83ms,FINISHED
Q17,sf200,1780,2025-09-25T09:38:05.688Z,20250925_093805_00016_ecqqd,1.78s,FINISHED
Q18,sf200,3430,2025-09-25T09:38:11.324Z,20250925_093811_00017_ecqqd,3.43s,FINISHED
Q19,sf200,1470,2025-09-25T09:38:18.575Z,20250925_093818_00018_ecqqd,1.47s,FINISHED
Q2,sf200,1890,2025-09-25T09:36:31.127Z,20250925_093630_00001_ecqqd,1.89s,FINISHED
Q20,sf200,1750,2025-09-25T09:38:23.838Z,20250925_093823_00019_ecqqd,1.75s,FINISHED
Q21,sf200,5370,2025-09-25T09:38:29.663Z,20250925_093829_00020_ecqqd,5.37s,FINISHED
Q22,sf200,978,2025-09-25T09:38:38.839Z,20250925_093838_00021_ecqqd,978.08ms,FINISHED
Q3,sf200,1910,2025-09-25T09:36:36.880Z,20250925_093636_00002_ecqqd,1.91s,FINISHED
Q4,sf200,1230,2025-09-25T09:36:42.596Z,20250925_093642_00003_ecqqd,1.23s,FINISHED
Q5,sf200,2480,2025-09-25T09:36:47.638Z,20250925_093647_00004_ecqqd,2.48s,FINISHED
Q6,sf200,1110,2025-09-25T09:36:53.926Z,20250925_093653_00005_ecqqd,1.11s,FINISHED
Q7,sf200,1920,2025-09-25T09:36:58.844Z,20250925_093658_00006_ecqqd,1.92s,FINISHED
Q8,sf200,6020,2025-09-25T09:37:04.603Z,20250925_093704_00007_ecqqd,6.02s,FINISHED
Q9,sf200,9640,2025-09-25T09:37:14.441Z,20250925_093714_00008_ecqqd,9.64s,FINISHED
