queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf500,3900,2025-09-25T11:55:52.824Z,20250925_115552_00000_sdwre,3.90s,FINISHED
Q10,sf500,6300,2025-09-25T11:57:33.007Z,20250925_115732_00009_sdwre,6.30s,FINISHED
Q11,sf500,901,2025-09-25T11:57:43.134Z,20250925_115743_00010_sdwre,901.72ms,FINISHED
Q12,sf500,6000,2025-09-25T11:57:47.881Z,20250925_115747_00011_sdwre,6.00s,FINISHED
Q13,sf500,1960,2025-09-25T11:57:57.670Z,20250925_115757_00012_sdwre,1.96s,FINISHED
Q14,sf500,4150,2025-09-25T11:58:03.435Z,20250925_115803_00013_sdwre,4.15s,FINISHED
Q15,sf500,6230,2025-09-25T11:58:11.381Z,20250925_115811_00014_sdwre,6.23s,FINISHED
Q16,sf500,1910,2025-09-25T11:58:21.439Z,20250925_115821_00015_sdwre,1.91s,FINISHED
Q17,sf500,5070,2025-09-25T11:58:28.108Z,20250925_115827_00016_sdwre,5.07s,FINISHED
Q18,sf500,16059,2025-09-25T12:33:33.039Z,20250925_123332_00001_3ygr8,16.06s,FINISHED
Q19,sf500,4610,2025-09-25T11:58:47.117Z,20250925_115846_00018_sdwre,4.61s,FINISHED
Q2,sf500,2770,2025-09-25T11:56:00.580Z,20250925_115600_00001_sdwre,2.77s,FINISHED
Q20,sf500,5280,2025-09-25T11:58:55.531Z,20250925_115855_00019_sdwre,5.28s,FINISHED
Q21,sf500,16410,2025-09-25T11:59:05.125Z,20250925_115904_00020_sdwre,16.41s,FINISHED
Q22,sf500,2029,2025-09-25T11:59:25.373Z,20250925_115925_00021_sdwre,2.03s,FINISHED
Q3,sf500,4780,2025-09-25T11:56:07.201Z,20250925_115607_00002_sdwre,4.78s,FINISHED
Q4,sf500,3480,2025-09-25T11:56:15.791Z,20250925_115615_00003_sdwre,3.48s,FINISHED
Q5,sf500,6140,2025-09-25T11:56:23.084Z,20250925_115622_00004_sdwre,6.14s,FINISHED
Q6,sf500,3640,2025-09-25T11:56:33.076Z,20250925_115632_00005_sdwre,3.64s,FINISHED
Q7,sf500,5580,2025-09-25T11:56:40.552Z,20250925_115640_00006_sdwre,5.58s,FINISHED
Q8,sf500,12130,2025-09-25T11:56:49.965Z,20250925_115649_00007_sdwre,12.13s,FINISHED
Q9,sf500,23300,2025-09-25T11:57:05.905Z,20250925_115705_00008_sdwre,23.30s,FINISHED
