queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf500,4880,2025-09-26T10:34:17.218Z,20250926_103416_00000_m8f3s,4.88s,FINISHED
Q10,sf500,20330,2025-09-26T10:35:34.248Z,20250926_103534_00009_m8f3s,20.33s,FINISHED
Q11,sf500,781,2025-09-26T10:35:58.379Z,20250926_103558_00010_m8f3s,781.49ms,FINISHED
Q12,sf500,2180,2025-09-26T10:36:02.978Z,20250926_103602_00011_m8f3s,2.18s,FINISHED
Q13,sf500,1850,2025-09-26T10:36:08.968Z,20250926_103608_00012_m8f3s,1.85s,FINISHED
Q14,sf500,2000,2025-09-26T10:36:14.648Z,20250926_103614_00013_m8f3s,2.00s,FINISHED
Q15,sf500,21740,2025-09-26T10:36:20.490Z,20250926_103620_00014_m8f3s,21.74s,FINISHED
Q16,sf500,792,2025-09-26T10:36:46.049Z,20250926_103645_00015_m8f3s,792.15ms,FINISHED
Q17,sf500,2890,2025-09-26T10:36:50.989Z,20250926_103650_00016_m8f3s,2.89s,FINISHED
Q18,sf500,4670,2025-09-26T10:36:57.716Z,20250926_103657_00017_m8f3s,4.67s,FINISHED
Q19,sf500,2450,2025-09-26T10:37:06.211Z,20250926_103706_00018_m8f3s,2.45s,FINISHED
Q2,sf500,1960,2025-09-26T10:34:25.923Z,20250926_103425_00001_m8f3s,1.96s,FINISHED
Q20,sf500,2350,2025-09-26T10:37:12.456Z,20250926_103712_00019_m8f3s,2.35s,FINISHED
Q21,sf500,5310,2025-09-26T10:37:19.299Z,20250926_103719_00020_m8f3s,5.31s,FINISHED
Q22,sf500,1790,2025-09-26T10:37:28.481Z,20250926_103728_00021_m8f3s,1.79s,FINISHED
Q3,sf500,12010,2025-09-26T10:34:31.755Z,20250926_103431_00002_m8f3s,12.01s,FINISHED
Q4,sf500,1650,2025-09-26T10:34:47.564Z,20250926_103447_00003_m8f3s,1.65s,FINISHED
Q5,sf500,2410,2025-09-26T10:34:53.058Z,20250926_103452_00004_m8f3s,2.41s,FINISHED
Q6,sf500,1890,2025-09-26T10:34:59.291Z,20250926_103459_00005_m8f3s,1.89s,FINISHED
Q7,sf500,2630,2025-09-26T10:35:05.005Z,20250926_103504_00006_m8f3s,2.63s,FINISHED
Q8,sf500,4290,2025-09-26T10:35:11.464Z,20250926_103511_00007_m8f3s,4.29s,FINISHED
Q9,sf500,10860,2025-09-26T10:35:19.572Z,20250926_103519_00008_m8f3s,10.86s,FINISHED
