queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1970,2025-09-05T15:08:45.661Z,20250905_150845_00000_e4pab,1.97s,FINISHED
Q10,sf100,8790,2025-09-05T15:10:58.458Z,20250905_151058_00009_e4pab,8.79s,FINISHED
Q11,sf100,2210,2025-09-05T15:11:08.076Z,20250905_151107_00010_e4pab,2.21s,FINISHED
Q12,sf100,5890,2025-09-05T15:11:11.129Z,20250905_151110_00011_e4pab,5.89s,FINISHED
Q13,sf100,3360,2025-09-05T15:11:17.840Z,20250905_151117_00012_e4pab,3.36s,FINISHED
Q14,sf100,1180,2025-09-05T15:11:22.054Z,20250905_151121_00013_e4pab,1.18s,FINISHED
Q15,sf100,8480,2025-09-05T15:11:24.053Z,20250905_151123_00014_e4pab,8.48s,FINISHED
Q16,sf100,4300,2025-09-05T15:11:33.364Z,20250905_151133_00015_e4pab,4.30s,FINISHED
Q17,sf100,13800,2025-09-05T15:11:39.552Z,20250905_151139_00016_e4pab,13.80s,FINISHED
Q18,sf100,42140,2025-09-05T15:11:54.182Z,20250905_151154_00017_e4pab,42.14s,FINISHED
Q19,sf100,2490,2025-09-05T15:12:37.181Z,20250905_151237_00018_e4pab,2.49s,FINISHED
Q2,sf100,5160,2025-09-05T15:08:48.484Z,20250905_150848_00001_e4pab,5.16s,FINISHED
Q20,sf100,5300,2025-09-05T15:12:40.535Z,20250905_151240_00019_e4pab,5.30s,FINISHED
Q21,sf100,23520,2025-09-05T15:12:46.803Z,20250905_151246_00020_e4pab,23.52s,FINISHED
Q22,sf100,1130,2025-09-05T15:13:11.176Z,20250905_151311_00021_e4pab,1.13s,FINISHED
Q3,sf100,9800,2025-09-05T15:08:54.485Z,20250905_150854_00002_e4pab,9.80s,FINISHED
Q4,sf100,2160,2025-09-05T15:09:05.086Z,20250905_150904_00003_e4pab,2.16s,FINISHED
Q5,sf100,17790,2025-09-05T15:09:08.091Z,20250905_150907_00004_e4pab,17.79s,FINISHED
Q6,sf100,822,2025-09-05T15:09:26.670Z,20250905_150926_00005_e4pab,822.50ms,FINISHED
Q7,sf100,7450,2025-09-05T15:09:28.299Z,20250905_150928_00006_e4pab,7.45s,FINISHED
Q8,sf100,35310,2025-09-05T15:09:36.573Z,20250905_150936_00007_e4pab,35.31s,FINISHED
Q9,sf100,44920,2025-09-05T15:10:12.713Z,20250905_151012_00008_e4pab,44.92s,FINISHED
