queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3160,2025-09-03T12:12:59.819Z,20250903_121259_00000_epd92,3.16s,FINISHED
Q10,sf100,6660,2025-09-03T12:15:11.219Z,20250903_121511_00009_epd92,6.66s,FINISHED
Q11,sf100,1820,2025-09-03T12:15:21.699Z,20250903_121521_00010_epd92,1.82s,FINISHED
Q12,sf100,3240,2025-09-03T12:15:27.376Z,20250903_121527_00011_epd92,3.24s,FINISHED
Q13,sf100,3250,2025-09-03T12:15:34.444Z,20250903_121534_00012_epd92,3.25s,FINISHED
Q14,sf100,1020,2025-09-03T12:15:41.519Z,20250903_121541_00013_epd92,1.02s,FINISHED
Q15,sf100,6640,2025-09-03T12:15:46.370Z,20250903_121546_00014_epd92,6.64s,FINISHED
Q16,sf100,4059,2025-09-03T12:15:56.847Z,20250903_121556_00015_epd92,4.06s,FINISHED
Q17,sf100,8360,2025-09-03T12:16:05.623Z,20250903_121605_00016_epd92,8.36s,FINISHED
Q18,sf100,16390,2025-09-03T12:16:17.814Z,20250903_121617_00017_epd92,16.39s,FINISHED
Q19,sf100,2130,2025-09-03T12:16:38.076Z,20250903_121637_00018_epd92,2.13s,FINISHED
Q2,sf100,4300,2025-09-03T12:13:06.807Z,20250903_121306_00001_epd92,4.30s,FINISHED
Q20,sf100,1970,2025-09-03T12:16:44.072Z,20250903_121643_00019_epd92,1.97s,FINISHED
Q21,sf100,36730,2025-09-03T12:16:50.073Z,20250903_121649_00020_epd92,36.73s,FINISHED
Q22,sf100,1280,2025-09-03T12:17:30.648Z,20250903_121730_00021_epd92,1.28s,FINISHED
Q3,sf100,5560,2025-09-03T12:13:14.953Z,20250903_121314_00002_epd92,5.56s,FINISHED
Q4,sf100,1720,2025-09-03T12:13:24.335Z,20250903_121324_00003_epd92,1.72s,FINISHED
Q5,sf100,13580,2025-09-03T12:13:29.928Z,20250903_121329_00004_epd92,13.58s,FINISHED
Q6,sf100,525,2025-09-03T12:13:47.303Z,20250903_121347_00005_epd92,525.88ms,FINISHED
Q7,sf100,5000,2025-09-03T12:13:51.645Z,20250903_121351_00006_epd92,5.00s,FINISHED
Q8,sf100,27430,2025-09-03T12:14:00.457Z,20250903_121400_00007_epd92,27.43s,FINISHED
Q9,sf100,35690,2025-09-03T12:14:31.718Z,20250903_121431_00008_epd92,35.69s,FINISHED
