queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,6380,2025-09-10T11:49:18.698Z,20250910_114918_00000_x2yyp,6.38s,FINISHED
Q10,sf1000,44290,2025-09-10T12:02:29.273Z,20250910_120229_00024_x2yyp,44.29s,FINISHED
Q11,sf1000,12740,2025-09-10T12:03:17.347Z,20250910_120317_00025_x2yyp,12.74s,FINISHED
Q12,sf1000,20480,2025-09-10T11:55:10.730Z,20250910_115510_00009_x2yyp,20.48s,FINISHED
Q13,sf1000,18090,2025-09-10T11:55:35.014Z,20250910_115534_00010_x2yyp,18.09s,FINISHED
Q14,sf1000,16030,2025-09-10T12:06:44.473Z,20250910_120644_00028_x2yyp,16.03s,FINISHED
Q15,sf1000,46670,2025-09-10T11:56:10.371Z,20250910_115610_00012_x2yyp,46.67s,FINISHED
Q16,sf1000,18450,2025-09-10T11:57:00.831Z,20250910_115700_00013_x2yyp,18.45s,FINISHED
Q19,sf1000,14630,2025-09-10T11:57:24.057Z,20250910_115723_00014_x2yyp,14.63s,FINISHED
Q2,sf1000,22470,2025-09-10T11:58:47.406Z,20250910_115847_00018_x2yyp,22.47s,FINISHED
Q20,sf1000,32200,2025-09-10T11:57:42.503Z,20250910_115742_00015_x2yyp,32.20s,FINISHED
Q22,sf1000,8610,2025-09-10T12:09:55.525Z,20250910_120955_00033_x2yyp,8.61s,FINISHED
Q3,sf1000,41960,2025-09-10T11:50:00.758Z,20250910_115000_00002_x2yyp,41.96s,FINISHED
Q4,sf1000,10720,2025-09-10T11:50:46.521Z,20250910_115046_00003_x2yyp,10.72s,FINISHED
Q5,sf1000,87600,2025-09-10T12:00:06.418Z,20250910_120006_00021_x2yyp,1.46m,FINISHED
Q6,sf1000,5320,2025-09-10T12:01:38.031Z,20250910_120137_00022_x2yyp,5.32s,FINISHED
Q7,sf1000,38290,2025-09-10T12:01:47.171Z,20250910_120147_00023_x2yyp,38.29s,FINISHED
