queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1280,2025-09-09T13:07:00.841Z,20250909_130700_00000_qx5rm,1.28s,FINISHED
Q10,sf100,4890,2025-09-09T13:09:44.834Z,20250909_130944_00009_qx5rm,4.89s,FINISHED
Q11,sf100,2029,2025-09-09T13:09:53.546Z,20250909_130953_00010_qx5rm,2.03s,FINISHED
Q12,sf100,5040,2025-09-09T13:09:59.417Z,20250909_130959_00011_qx5rm,5.04s,FINISHED
Q13,sf100,1810,2025-09-09T13:10:08.274Z,20250909_131008_00012_qx5rm,1.81s,FINISHED
Q14,sf100,983,2025-09-09T13:10:13.925Z,20250909_131013_00013_qx5rm,983.15ms,FINISHED
Q15,sf100,4480,2025-09-09T13:10:18.742Z,20250909_131018_00014_qx5rm,4.48s,FINISHED
Q16,sf100,2800,2025-09-09T13:10:27.053Z,20250909_131026_00015_qx5rm,2.80s,FINISHED
Q17,sf100,8570,2025-09-09T13:10:34.947Z,20250909_131034_00016_qx5rm,8.57s,FINISHED
Q18,sf100,37990,2025-09-09T13:10:47.315Z,20250909_131047_00017_qx5rm,37.99s,FINISHED
Q19,sf100,1940,2025-09-09T13:11:29.130Z,20250909_131129_00018_qx5rm,1.94s,FINISHED
Q2,sf100,3620,2025-09-09T13:07:06.011Z,20250909_130705_00001_qx5rm,3.62s,FINISHED
Q20,sf100,3500,2025-09-09T13:11:34.908Z,20250909_131134_00019_qx5rm,3.50s,FINISHED
Q21,sf100,21050,2025-09-09T13:11:42.385Z,20250909_131142_00020_qx5rm,21.05s,FINISHED
Q22,sf100,811,2025-09-09T13:12:07.269Z,20250909_131207_00021_qx5rm,811.87ms,FINISHED
Q3,sf100,5670,2025-09-09T13:07:13.544Z,20250909_130713_00002_qx5rm,5.67s,FINISHED
Q4,sf100,1260,2025-09-09T13:07:23.062Z,20250909_130722_00003_qx5rm,1.26s,FINISHED
Q5,sf100,19850,2025-09-09T13:07:28.159Z,20250909_130728_00004_qx5rm,19.85s,FINISHED
Q6,sf100,399,2025-09-09T13:07:51.803Z,20250909_130751_00005_qx5rm,399.70ms,FINISHED
Q7,sf100,8360,2025-09-09T13:07:56.046Z,20250909_130755_00006_qx5rm,8.36s,FINISHED
Q8,sf100,34220,2025-09-09T13:08:08.238Z,20250909_130808_00007_qx5rm,34.22s,FINISHED
Q9,sf100,54740,2025-09-09T13:08:46.265Z,20250909_130846_00008_qx5rm,54.74s,FINISHED
