queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,4250,2025-09-23T15:15:56.958Z,20250923_151556_00000_jtzaw,4.25s,FINISHED
Q10,sf100,15680,2025-09-23T15:18:52.585Z,20250923_151852_00009_jtzaw,15.68s,FINISHED
Q11,sf100,2690,2025-09-23T15:19:12.945Z,20250923_151912_00010_jtzaw,2.69s,FAILED
Q12,sf100,9930,2025-09-23T15:19:19.972Z,20250923_151919_00011_jtzaw,9.93s,FINISHED
Q13,sf100,10860,2025-09-23T15:19:34.426Z,20250923_151934_00012_jtzaw,10.86s,FINISHED
Q14,sf100,3460,2025-09-23T15:19:49.676Z,20250923_151949_00013_jtzaw,3.46s,FINISHED
Q15,sf100,12760,2025-09-23T15:19:57.663Z,20250923_151957_00014_jtzaw,12.76s,FINISHED
Q16,sf100,7330,2025-09-23T15:20:15.128Z,20250923_152014_00015_jtzaw,7.33s,FINISHED
Q17,sf100,10420,2025-09-23T15:20:29.050Z,20250923_152028_00016_jtzaw,10.42s,FINISHED
Q18,sf100,21460,2025-09-23T15:20:43.980Z,20250923_152043_00017_jtzaw,21.46s,FINISHED
Q19,sf100,4270,2025-09-23T15:21:10.143Z,20250923_152109_00018_jtzaw,4.27s,FINISHED
Q2,sf100,10760,2025-09-23T15:16:05.722Z,20250923_151605_00001_jtzaw,10.76s,FINISHED
Q20,sf100,3530,2025-09-23T15:21:18.923Z,20250923_152118_00019_jtzaw,3.53s,FINISHED
Q21,sf100,45910,2025-09-23T15:21:28.017Z,20250923_152127_00020_jtzaw,45.91s,FINISHED
Q22,sf100,2550,2025-09-23T15:22:18.471Z,20250923_152218_00021_jtzaw,2.55s,FINISHED
Q3,sf100,8400,2025-09-23T15:16:21.226Z,20250923_151620_00002_jtzaw,8.40s,FINISHED
Q4,sf100,4890,2025-09-23T15:16:34.095Z,20250923_151633_00003_jtzaw,4.89s,FINISHED
Q5,sf100,15270,2025-09-23T15:16:43.397Z,20250923_151643_00004_jtzaw,15.27s,FINISHED
Q6,sf100,2200,2025-09-23T15:17:03.364Z,20250923_151703_00005_jtzaw,2.20s,FINISHED
Q7,sf100,14790,2025-09-23T15:17:10.103Z,20250923_151709_00006_jtzaw,14.79s,FINISHED
Q8,sf100,27570,2025-09-23T15:17:29.589Z,20250923_151729_00007_jtzaw,27.57s,FINISHED
Q9,sf100,46010,2025-09-23T15:18:01.854Z,20250923_151801_00008_jtzaw,46.01s,FINISHED
