queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,3050,2025-09-24T11:52:45.275Z,20250924_115244_00000_n6tew,3.05s,FINISHED
Q10,sf100,15580,2025-09-24T11:55:35.631Z,20250924_115535_00009_n6tew,15.58s,FINISHED
Q11,sf100,2500,2025-09-24T11:55:55.909Z,20250924_115555_00010_n6tew,2.50s,FAILED
Q12,sf100,10550,2025-09-24T11:56:02.856Z,20250924_115602_00011_n6tew,10.55s,FINISHED
Q13,sf100,9920,2025-09-24T11:56:17.909Z,20250924_115617_00012_n6tew,9.92s,FINISHED
Q14,sf100,3320,2025-09-24T11:56:32.389Z,20250924_115632_00013_n6tew,3.32s,FINISHED
Q15,sf100,14120,2025-09-24T11:56:40.254Z,20250924_115639_00014_n6tew,14.12s,FINISHED
Q16,sf100,7170,2025-09-24T11:56:59.060Z,20250924_115658_00015_n6tew,7.17s,FINISHED
Q17,sf100,9960,2025-09-24T11:57:13.100Z,20250924_115712_00016_n6tew,9.96s,FINISHED
Q18,sf100,17000,2025-09-24T11:57:27.635Z,20250924_115727_00017_n6tew,17.00s,FINISHED
Q19,sf100,4090,2025-09-24T11:57:49.238Z,20250924_115748_00018_n6tew,4.09s,FINISHED
Q2,sf100,10890,2025-09-24T11:52:52.808Z,20250924_115252_00001_n6tew,10.89s,FINISHED
Q20,sf100,3060,2025-09-24T11:57:57.890Z,20250924_115757_00019_n6tew,3.06s,FINISHED
Q21,sf100,48680,2025-09-24T11:58:06.522Z,20250924_115806_00020_n6tew,48.68s,FINISHED
Q22,sf100,1900,2025-09-24T11:58:59.726Z,20250924_115859_00021_n6tew,1.90s,FINISHED
Q3,sf100,7400,2025-09-24T11:53:08.414Z,20250924_115308_00002_n6tew,7.40s,FINISHED
Q4,sf100,2330,2025-09-24T11:53:20.348Z,20250924_115320_00003_n6tew,2.33s,FINISHED
Q5,sf100,14400,2025-09-24T11:53:27.225Z,20250924_115326_00004_n6tew,14.40s,FINISHED
Q6,sf100,1580,2025-09-24T11:53:46.345Z,20250924_115346_00005_n6tew,1.58s,FINISHED
Q7,sf100,12440,2025-09-24T11:53:52.463Z,20250924_115352_00006_n6tew,12.44s,FINISHED
Q8,sf100,33100,2025-09-24T11:54:09.621Z,20250924_115409_00007_n6tew,33.10s,FINISHED
Q9,sf100,43650,2025-09-24T11:54:47.442Z,20250924_115447_00008_n6tew,43.65s,FINISHED
