queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,4650,2025-09-24T09:07:31.824Z,20250924_090731_00000_bfu7e,4.65s,FINISHED
Q10,sf100,14580,2025-09-24T09:10:31.886Z,20250924_091031_00009_bfu7e,14.58s,FINISHED
Q11,sf100,2650,2025-09-24T09:10:50.827Z,20250924_091050_00010_bfu7e,2.65s,FAILED
Q11,sf100,2760,2025-09-24T09:16:54.104Z,20250924_091653_00022_bfu7e,2.76s,FAILED
Q12,sf100,11400,2025-09-24T09:10:57.843Z,20250924_091057_00011_bfu7e,11.40s,FINISHED
Q13,sf100,11380,2025-09-24T09:11:13.770Z,20250924_091113_00012_bfu7e,11.38s,FINISHED
Q14,sf100,3360,2025-09-24T09:11:29.662Z,20250924_091129_00013_bfu7e,3.36s,FINISHED
Q15,sf100,13620,2025-09-24T09:11:37.503Z,20250924_091137_00014_bfu7e,13.62s,FINISHED
Q16,sf100,7270,2025-09-24T09:11:55.780Z,20250924_091155_00015_bfu7e,7.27s,FINISHED
Q17,sf100,10390,2025-09-24T09:12:09.537Z,20250924_091209_00016_bfu7e,10.39s,FINISHED
Q18,sf100,22500,2025-09-24T09:12:24.389Z,20250924_091224_00017_bfu7e,22.50s,FINISHED
Q19,sf100,4420,2025-09-24T09:12:51.576Z,20250924_091251_00018_bfu7e,4.42s,FINISHED
Q2,sf100,11890,2025-09-24T09:07:41.049Z,20250924_090740_00001_bfu7e,11.89s,FINISHED
Q20,sf100,3580,2025-09-24T09:13:00.474Z,20250924_091300_00019_bfu7e,3.58s,FINISHED
Q21,sf100,45640,2025-09-24T09:13:09.539Z,20250924_091309_00020_bfu7e,45.64s,FINISHED
Q22,sf100,2260,2025-09-24T09:13:59.839Z,20250924_091359_00021_bfu7e,2.26s,FINISHED
Q3,sf100,8900,2025-09-24T09:07:57.660Z,20250924_090757_00002_bfu7e,8.90s,FINISHED
Q4,sf100,3810,2025-09-24T09:08:11.246Z,20250924_090810_00003_bfu7e,3.81s,FINISHED
Q5,sf100,23200,2025-09-24T09:08:19.607Z,20250924_090819_00004_bfu7e,23.20s,FINISHED
Q6,sf100,2210,2025-09-24T09:08:47.346Z,20250924_090847_00005_bfu7e,2.21s,FINISHED
Q7,sf100,9980,2025-09-24T09:08:54.146Z,20250924_090853_00006_bfu7e,9.98s,FINISHED
Q8,sf100,36010,2025-09-24T09:09:08.618Z,20250924_090908_00007_bfu7e,36.01s,FINISHED
Q9,sf100,38210,2025-09-24T09:09:49.143Z,20250924_090948_00008_bfu7e,38.21s,FINISHED
