queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf100,1540,2025-09-24T14:49:18.271Z,20250924_144917_00000_atgf7,1.54s,FINISHED
Q10,sf100,7870,2025-09-24T14:51:07.967Z,20250924_145107_00009_atgf7,7.87s,FINISHED
Q11,sf100,1890,2025-09-03T13:42:01.195Z,20250903_134201_00010_57xa8,1.89s,FINISHED
Q12,sf100,6120,2025-09-24T14:51:24.052Z,20250924_145123_00011_atgf7,6.12s,FINISHED
Q13,sf100,3810,2025-09-24T14:51:33.981Z,20250924_145133_00012_atgf7,3.81s,FINISHED
Q14,sf100,2390,2025-09-24T14:51:41.592Z,20250924_145141_00013_atgf7,2.39s,FINISHED
Q15,sf100,7680,2025-09-24T14:51:47.824Z,20250924_145147_00014_atgf7,7.68s,FINISHED
Q16,sf100,3730,2025-09-24T14:51:59.334Z,20250924_145159_00015_atgf7,3.73s,FINISHED
Q17,sf100,6490,2025-09-24T14:52:07.882Z,20250924_145207_00016_atgf7,6.49s,FINISHED
Q18,sf100,25040,2025-09-24T14:52:18.182Z,20250924_145218_00017_atgf7,25.04s,FINISHED
Q19,sf100,2780,2025-09-24T14:52:47.042Z,20250924_145246_00018_atgf7,2.78s,FINISHED
Q2,sf100,6220,2025-09-24T14:49:23.673Z,20250924_144923_00001_atgf7,6.22s,FINISHED
Q20,sf100,2110,2025-09-03T13:43:11.559Z,20250903_134311_00019_57xa8,2.11s,FINISHED
Q21,sf100,15770,2025-09-24T14:52:58.219Z,20250924_145258_00020_atgf7,15.77s,FINISHED
Q22,sf100,803,2025-09-24T14:53:17.801Z,20250924_145317_00021_atgf7,803.42ms,FINISHED
Q3,sf100,4480,2025-09-24T14:49:33.724Z,20250924_144933_00002_atgf7,4.48s,FINISHED
Q4,sf100,1170,2025-09-24T14:49:42.041Z,20250924_144941_00003_atgf7,1.17s,FINISHED
Q5,sf100,9960,2025-09-24T14:49:47.053Z,20250924_144946_00004_atgf7,9.96s,FINISHED
Q6,sf100,427,2025-09-24T14:50:00.836Z,20250924_145000_00005_atgf7,427.53ms,FINISHED
Q7,sf100,4970,2025-09-24T14:50:05.099Z,20250924_145004_00006_atgf7,4.97s,FINISHED
Q8,sf100,18540,2025-09-24T14:50:13.919Z,20250924_145013_00007_atgf7,18.54s,FINISHED
Q9,sf100,27900,2025-09-24T14:50:36.272Z,20250924_145036_00008_atgf7,27.90s,FINISHED
