queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,3700,2025-10-10T10:28:55.288Z,20251010_102854_00000_xwxwm,3.70s,FINISHED
Q10,sf1000,41720,2025-10-10T10:38:58.830Z,20251010_103858_00009_xwxwm,41.72s,FINISHED
Q11,sf1000,15630,2025-10-10T10:39:44.370Z,20251010_103944_00010_xwxwm,15.63s,FINISHED
Q12,sf1000,29820,2025-10-10T10:40:03.850Z,20251010_104003_00011_xwxwm,29.82s,FINISHED
Q13,sf1000,17070,2025-10-10T10:40:37.512Z,20251010_104037_00012_xwxwm,17.07s,FINISHED
Q14,sf1000,5600,2025-10-10T10:40:58.414Z,20251010_104058_00013_xwxwm,5.60s,FINISHED
Q15,sf1000,40790,2025-10-10T10:41:07.873Z,20251010_104107_00014_xwxwm,40.79s,FINISHED
Q16,sf1000,9370,2025-10-10T11:13:08.156Z,20251010_111308_00025_xwxwm,9.37s,FINISHED
Q17,sf1000,111000,2025-10-10T10:44:57.692Z,20251010_104457_00016_xwxwm,1.85m,FINISHED
Q18,sf1000,95400,2025-10-10T10:46:52.354Z,20251010_104652_00017_xwxwm,1.59m,FINISHED
Q19,sf1000,10110,2025-10-10T10:48:31.453Z,20251010_104831_00018_xwxwm,10.11s,FINISHED
Q2,sf1000,16780,2025-10-10T10:29:02.842Z,20251010_102902_00001_xwxwm,16.78s,FINISHED
Q20,sf1000,14510,2025-10-10T10:48:45.361Z,20251010_104845_00019_xwxwm,14.51s,FINISHED
Q21,sf1000,75000,2025-10-10T11:18:09.009Z,20251010_111808_00029_xwxwm,1.25m,FINISHED
Q22,sf1000,6240,2025-10-10T10:50:16.486Z,20251010_105016_00021_xwxwm,6.24s,FINISHED
Q3,sf1000,36980,2025-10-10T10:29:23.478Z,20251010_102923_00002_xwxwm,36.98s,FINISHED
Q4,sf1000,6850,2025-10-10T10:30:04.274Z,20251010_103004_00003_xwxwm,6.85s,FINISHED
Q5,sf1000,67800,2025-10-10T11:01:07.304Z,20251010_110107_00023_xwxwm,1.13m,FINISHED
Q6,sf1000,1420,2025-10-10T10:31:09.055Z,20251010_103108_00005_xwxwm,1.42s,FINISHED
Q7,sf1000,30290,2025-10-10T10:31:14.285Z,20251010_103114_00006_xwxwm,30.29s,FINISHED
Q8,sf1000,114000,2025-10-10T10:31:48.399Z,20251010_103148_00007_xwxwm,1.90m,FINISHED
Q9,sf1000,199200,2025-10-10T11:03:29.949Z,20251010_110329_00024_xwxwm,3.32m,FINISHED

