queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,10500,2025-11-25T12:36:01.023Z,20251125_123600_00000_u3xyp,10.50s,FINISHED
Q10,sf1000,17710,2025-11-25T12:39:29.386Z,20251125_123929_00009_u3xyp,17.71s,FINISHED
Q11,sf1000,5210,2025-11-25T12:39:50.943Z,20251125_123950_00010_u3xyp,5.21s,FINISHED
Q12,sf1000,11050,2025-11-25T12:39:59.970Z,20251125_123959_00011_u3xyp,11.05s,FINISHED
Q13,sf1000,8840,2025-11-25T12:40:14.854Z,20251125_124014_00012_u3xyp,8.84s,FINISHED
Q14,sf1000,11190,2025-11-25T12:40:27.501Z,20251125_124027_00013_u3xyp,11.19s,FINISHED
Q15,sf1000,17480,2025-11-25T12:40:42.509Z,20251125_124042_00014_u3xyp,17.48s,FINISHED
Q16,sf1000,3250,2025-11-25T12:41:03.816Z,20251125_124103_00015_u3xyp,3.25s,FINISHED
Q17,sf1000,26860,2025-11-25T12:41:11.103Z,20251125_124110_00016_u3xyp,26.86s,FINISHED
Q18,sf1000,23670,2025-11-25T12:41:41.776Z,20251125_124141_00017_u3xyp,23.67s,FINISHED
Q19,sf1000,11600,2025-11-25T12:42:09.251Z,20251125_124209_00018_u3xyp,11.60s,FINISHED
Q2,sf1000,6660,2025-11-25T12:36:15.392Z,20251125_123615_00001_u3xyp,6.66s,FINISHED
Q20,sf1000,11690,2025-11-25T12:42:24.683Z,20251125_124224_00019_u3xyp,11.69s,FINISHED
Q21,sf1000,30790,2025-11-25T12:42:40.802Z,20251125_124240_00020_u3xyp,30.79s,FINISHED
Q22,sf1000,3830,2025-11-25T12:43:15.414Z,20251125_124315_00021_u3xyp,3.83s,FINISHED
Q3,sf1000,14590,2025-11-25T12:36:25.888Z,20251125_123625_00002_u3xyp,14.59s,FINISHED
Q4,sf1000,5390,2025-11-25T12:36:44.365Z,20251125_123644_00003_u3xyp,5.39s,FINISHED
Q5,sf1000,22810,2025-11-25T12:36:53.615Z,20251125_123653_00004_u3xyp,22.81s,FINISHED
Q6,sf1000,6950,2025-11-25T12:37:20.229Z,20251125_123720_00005_u3xyp,6.95s,FINISHED
Q7,sf1000,16880,2025-11-25T12:37:30.977Z,20251125_123730_00006_u3xyp,16.88s,FINISHED
Q8,sf1000,32280,2025-11-25T12:37:51.679Z,20251125_123751_00007_u3xyp,32.28s,FINISHED
Q9,sf1000,57720,2025-11-25T12:38:27.831Z,20251125_123827_00008_u3xyp,57.72s,FINISHED
