queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,8480,2025-11-26T10:54:30.343Z,20251126_105430_00000_qr7yw,8.48s,FINISHED
Q10,sf1000,12080,2025-11-26T10:57:27.429Z,20251126_105727_00009_qr7yw,12.08s,FINISHED
Q11,sf1000,5290,2025-11-26T10:57:43.356Z,20251126_105743_00010_qr7yw,5.29s,FINISHED
Q12,sf1000,6000,2025-11-26T10:57:52.469Z,20251126_105752_00011_qr7yw,6.00s,FINISHED
Q13,sf1000,4540,2025-11-26T10:58:02.264Z,20251126_105802_00012_qr7yw,4.54s,FINISHED
Q14,sf1000,3760,2025-11-26T10:58:10.657Z,20251126_105810_00013_qr7yw,3.76s,FINISHED
Q15,sf1000,11890,2025-11-26T10:58:18.229Z,20251126_105818_00014_qr7yw,11.89s,FINISHED
Q16,sf1000,2710,2025-11-26T10:58:33.954Z,20251126_105833_00015_qr7yw,2.71s,FINISHED
Q17,sf1000,24640,2025-11-26T10:58:40.725Z,20251126_105840_00016_qr7yw,24.64s,FINISHED
Q18,sf1000,16880,2025-11-26T10:59:09.204Z,20251126_105909_00017_qr7yw,16.88s,FINISHED
Q19,sf1000,3780,2025-11-26T10:59:29.896Z,20251126_105929_00018_qr7yw,3.78s,FINISHED
Q2,sf1000,6790,2025-11-26T10:54:42.694Z,20251126_105442_00001_qr7yw,6.79s,FINISHED
Q20,sf1000,4860,2025-11-26T10:59:37.518Z,20251126_105937_00019_qr7yw,4.86s,FINISHED
Q21,sf1000,27480,2025-11-26T10:59:47.005Z,20251126_105946_00020_qr7yw,27.48s,FINISHED
Q22,sf1000,2490,2025-11-26T11:00:18.329Z,20251126_110018_00021_qr7yw,2.49s,FINISHED
Q3,sf1000,10070,2025-11-26T10:54:53.354Z,20251126_105453_00002_qr7yw,10.07s,FINISHED
Q4,sf1000,3090,2025-11-26T10:55:07.260Z,20251126_105507_00003_qr7yw,3.09s,FINISHED
Q5,sf1000,20250,2025-11-26T10:55:14.198Z,20251126_105514_00004_qr7yw,20.25s,FINISHED
Q6,sf1000,2320,2025-11-26T10:55:38.254Z,20251126_105538_00005_qr7yw,2.32s,FINISHED
Q7,sf1000,10850,2025-11-26T10:55:44.409Z,20251126_105544_00006_qr7yw,10.85s,FINISHED
Q8,sf1000,26640,2025-11-26T10:55:59.113Z,20251126_105558_00007_qr7yw,26.64s,FINISHED
Q9,sf1000,53970,2025-11-26T10:56:29.618Z,20251126_105629_00008_qr7yw,53.97s,FINISHED
