queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,5690,2025-11-26T09:00:14.034Z,20251126_090013_00000_qmu8z,5.69s,FINISHED
Q10,sf1000,6330,2025-11-26T09:01:38.760Z,20251126_090138_00009_qmu8z,6.33s,FINISHED
Q11,sf1000,1010,2025-11-26T09:01:48.910Z,20251126_090148_00010_qmu8z,1.01s,FINISHED
Q12,sf1000,3230,2025-11-26T09:01:53.763Z,20251126_090153_00011_qmu8z,3.23s,FINISHED
Q13,sf1000,3120,2025-11-26T09:02:00.823Z,20251126_090200_00012_qmu8z,3.12s,FINISHED
Q14,sf1000,2830,2025-11-26T09:02:07.795Z,20251126_090207_00013_qmu8z,2.83s,FINISHED
Q15,sf1000,6350,2025-11-26T09:02:14.448Z,20251126_090214_00014_qmu8z,6.35s,FINISHED
Q16,sf1000,1330,2025-11-26T09:02:24.613Z,20251126_090224_00015_qmu8z,1.33s,FINISHED
Q17,sf1000,4960,2025-11-26T09:02:30.209Z,20251126_090230_00016_qmu8z,4.96s,FINISHED
Q18,sf1000,4860,2025-11-26T09:02:38.963Z,20251126_090238_00017_qmu8z,4.86s,FINISHED
Q19,sf1000,4220,2025-11-26T09:02:47.654Z,20251126_090247_00018_qmu8z,4.22s,FINISHED
Q2,sf1000,1970,2025-11-26T09:00:23.574Z,20251126_090023_00001_qmu8z,1.97s,FINISHED
Q20,sf1000,4130,2025-11-26T09:02:55.674Z,20251126_090255_00019_qmu8z,4.13s,FINISHED
Q21,sf1000,9020,2025-11-26T09:03:04.802Z,20251126_090304_00020_qmu8z,9.02s,FINISHED
Q22,sf1000,2110,2025-11-26T09:03:17.659Z,20251126_090317_00021_qmu8z,2.11s,FINISHED
Q3,sf1000,2970,2025-11-26T09:00:29.392Z,20251126_090029_00002_qmu8z,2.97s,FINISHED
Q4,sf1000,2900,2025-11-26T09:00:36.199Z,20251126_090036_00003_qmu8z,2.90s,FINISHED
Q5,sf1000,3920,2025-11-26T09:00:42.934Z,20251126_090042_00004_qmu8z,3.92s,FINISHED
Q6,sf1000,2480,2025-11-26T09:00:50.704Z,20251126_090050_00005_qmu8z,2.48s,FINISHED
Q7,sf1000,4390,2025-11-26T09:00:57.036Z,20251126_090056_00006_qmu8z,4.39s,FINISHED
Q8,sf1000,7080,2025-11-26T09:01:05.298Z,20251126_090105_00007_qmu8z,7.08s,FINISHED
Q9,sf1000,18740,2025-11-26T09:01:16.194Z,20251126_090116_00008_qmu8z,18.74s,FINISHED
