queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,9860,2025-11-25T08:19:28.034Z,20251125_081927_00011_4avhf,9.86s,FINISHED
Q10,sf1000,11090,2025-11-25T08:21:42.845Z,20251125_082142_00020_4avhf,11.09s,FINISHED
Q11,sf1000,1470,2025-11-25T08:21:57.758Z,20251125_082157_00021_4avhf,1.47s,FINISHED
Q12,sf1000,7650,2025-11-25T08:22:03.058Z,20251125_082202_00022_4avhf,7.65s,FINISHED
Q13,sf1000,7150,2025-11-25T08:22:14.512Z,20251125_082214_00023_4avhf,7.15s,FINISHED
Q14,sf1000,9970,2025-11-25T08:22:25.443Z,20251125_082225_00024_4avhf,9.97s,FINISHED
Q15,sf1000,11670,2025-11-25T08:22:39.208Z,20251125_082239_00025_4avhf,11.67s,FINISHED
Q16,sf1000,1820,2025-11-25T08:22:54.734Z,20251125_082254_00026_4avhf,1.82s,FINISHED
Q17,sf1000,13810,2025-11-25T08:23:00.602Z,20251125_082300_00027_4avhf,13.81s,FINISHED
Q18,sf1000,10200,2025-11-25T08:23:18.249Z,20251125_082318_00028_4avhf,10.20s,FINISHED
Q19,sf1000,11800,2025-11-25T08:23:32.310Z,20251125_082332_00029_4avhf,11.80s,FINISHED
Q2,sf1000,2910,2025-11-25T08:19:41.745Z,20251125_081941_00012_4avhf,2.91s,FINISHED
Q20,sf1000,11110,2025-11-25T08:23:47.919Z,20251125_082347_00030_4avhf,11.11s,FINISHED
Q21,sf1000,12590,2025-11-25T08:24:03.537Z,20251125_082403_00031_4avhf,12.59s,FINISHED
Q22,sf1000,3560,2025-11-25T08:24:19.922Z,20251125_082419_00032_4avhf,3.56s,FINISHED
Q3,sf1000,11030,2025-11-25T08:19:48.513Z,20251125_081948_00013_4avhf,11.03s,FINISHED
Q4,sf1000,5170,2025-11-25T08:20:03.369Z,20251125_082003_00014_4avhf,5.17s,FINISHED
Q5,sf1000,11040,2025-11-25T08:20:12.386Z,20251125_082012_00015_4avhf,11.04s,FINISHED
Q6,sf1000,7040,2025-11-25T08:20:27.276Z,20251125_082027_00016_4avhf,7.04s,FINISHED
Q7,sf1000,11040,2025-11-25T08:20:38.131Z,20251125_082038_00017_4avhf,11.04s,FINISHED
Q8,sf1000,16110,2025-11-25T08:20:52.966Z,20251125_082052_00018_4avhf,16.11s,FINISHED
Q9,sf1000,26100,2025-11-25T08:21:12.933Z,20251125_082112_00019_4avhf,26.10s,FINISHED
