sep=,
"query_id","query_file","stage_count","splits","cpu_ms","wall_ms","analysis_ms","planning_ms","queued_ms","execution_ms","cumulative_memory","peak_user_memory_bytes","peak_total_memory_bytes","peak_task_total_memory","peak_task_user_memory","peak_node_total_memory","cumulative_total_memory","total_bytes","total_rows","bytes_per_cpu_sec","bytes_per_sec","rows_per_cpu_sec","output_rows","output_bytes","written_rows","written_bytes","written_intermediate_bytes","stage_id","query_index","sequence_no","cold_run","succeeded","row_count","expected_row_count","start_time","end_time"
20251128_095905_00016_abi74,query_01.sql,4,"1,987","304,402","20,976",268,272,0,"20,708","3,015,853,947,744","234,489,344","234,489,344","35,894,208","234,489,344","92,274,688","3,015,853,947,744","71,518,013,703","5,999,989,709","234,945","3,409,516,290","19,710",4,527,0,0,0,customized,0,0,1,1,4,4,2025-11-28 10:59:05,2025-11-28 10:59:26
20251128_095926_00017_abi74,query_02.sql,13,"2,042","150,754","13,192","1,222","1,232",0,"11,970","38,323,635,982,624","4,993,917,120","4,993,917,120","743,037,440","4,993,917,120","1,710,227,456","38,323,635,982,624","38,743,840,031","1,820,000,060","257,000","2,936,919,347","12,072",100,"18,162",0,0,0,customized,0,0,1,1,100,100,2025-11-28 10:59:26,2025-11-28 10:59:39
20251128_095939_00018_abi74,query_03.sql,5,"3,088","620,538","35,100",420,422,0,"34,680","347,240,880,112,352","15,463,437,312","15,463,437,312","1,368,136,192","15,463,437,312","2,207,252,480","347,240,880,112,352","130,978,411,733","7,649,989,709","211,072","3,731,578,682","12,327",10,339,0,0,0,customized,0,0,1,1,10,10,2025-11-28 10:59:39,2025-11-28 11:00:14
20251128_100014_00019_abi74,query_04.sql,6,"2,966","997,393","11,533",98,101,0,"11,435","280,702,321,746,304","50,914,411,392","50,914,411,392","5,880,303,616","50,914,411,392","7,163,871,232","280,702,321,746,304","76,254,642,774","7,499,989,709","76,453","6,611,865,323","7,519",5,173,0,0,0,customized,0,0,1,1,5,5,2025-11-28 11:00:14,2025-11-28 11:00:26
20251128_100026_00020_abi74,query_05.sql,10,"3,297","831,270","25,688",246,249,0,"25,442","350,702,113,438,432","19,770,477,568","19,770,477,568","1,665,147,904","19,770,477,568","3,060,793,344","350,702,113,438,432","170,059,791,130","7,659,989,739","204,578","6,620,203,641","9,214",1,92,0,0,0,customized,0,0,1,1,1,1,2025-11-28 11:00:26,2025-11-28 11:00:52
20251128_100052_00021_abi74,query_06.sql,2,"1,858","60,800","3,217",40,41,0,"3,177","67,709,675,008","66,834,368","66,834,368","12,420,096","66,834,368","42,991,616","67,709,675,008","66,068,339,274","5,999,989,709","1,086,650","20,537,251,873","98,684",1,52,0,0,0,customized,0,0,1,1,1,1,2025-11-28 11:00:52,2025-11-28 11:00:55
20251128_100055_00022_abi74,query_07.sql,10,"3,304","328,222","4,847",233,238,0,"4,614","21,495,039,365,984","10,106,513,920","10,106,513,920","1,158,244,160","10,106,513,920","1,991,245,824","21,495,039,365,984","176,848,040,265","7,659,989,759","538,806","36,486,082,167","23,337",4,265,0,0,0,customized,0,0,1,1,4,4,2025-11-28 11:00:55,2025-11-28 11:01:00
20251128_100100_00023_abi74,query_08.sql,13,"3,538","357,648","20,808",534,537,0,"20,274","245,399,401,075,424","15,488,755,712","15,488,755,712","1,451,382,784","15,488,755,712","2,395,996,160","245,399,401,075,424","219,899,652,055","7,859,989,764","614,849","10,568,034,028","21,976",2,95,0,0,0,customized,0,0,1,1,2,2,2025-11-28 11:01:00,2025-11-28 11:01:21
20251128_100121_00024_abi74,query_09.sql,11,"4,093","2,880,542","68,473",227,231,0,"68,246","4,833,815,993,442,336","76,242,478,144","76,242,478,144","8,101,969,920","76,242,478,144","9,971,957,760","4,833,815,993,442,336","235,758,784,298","8,509,989,734","81,845","3,443,091,208","2,954",175,"4,829",0,0,0,customized,0,0,1,1,175,175,2025-11-28 11:01:21,2025-11-28 11:02:29
20251128_100229_00025_abi74,query_10.sql,6,"3,098","613,798","15,011",97,101,0,"14,914","215,416,789,329,120","28,890,528,384","28,890,528,384","3,097,428,224","28,890,528,384","4,223,664,128","215,416,789,329,120","146,610,115,586","7,649,989,734","238,857","9,766,845,352","12,463",20,"3,919",0,0,0,customized,0,0,1,1,20,20,2025-11-28 11:02:29,2025-11-28 11:02:44
20251128_100244_00026_abi74,query_11.sql,10,"1,814","44,449","2,133",164,168,0,"1,969","7,613,951,808","1,420,848,960","1,420,848,960","78,087,552","1,420,848,960","343,932,928","7,613,951,808","33,570,124,975","1,620,000,050","755,250","15,738,455,216","36,446",0,0,0,0,0,customized,0,0,1,1,0,0,2025-11-28 11:02:44,2025-11-28 11:02:46
20251128_100246_00027_abi74,query_12.sql,5,"2,902","216,855","6,457",84,87,0,"6,373","47,832,347,115,552","15,918,146,624","15,918,146,624","2,005,094,464","15,918,146,624","2,136,997,888","47,832,347,115,552","85,315,965,237","7,499,989,709","393,424","13,212,941,805","34,585",2,138,0,0,0,customized,0,0,1,1,2,2,2025-11-28 11:02:46,2025-11-28 11:02:53
20251128_100253_00028_abi74,query_13.sql,6,"1,302","1,328,622","37,829",65,67,0,"37,764","445,049,929,031,840","13,070,960,768","13,070,960,768","1,606,082,368","13,070,960,768","1,893,728,256","445,049,929,031,840","104,230,362,542","1,650,000,000","78,449","2,755,303,142","1,241",30,543,0,0,0,customized,0,0,1,1,30,30,2025-11-28 11:02:53,2025-11-28 11:03:31
20251128_100331_00029_abi74,query_14.sql,4,"2,091","163,523","3,042",58,60,0,"2,984","113,605,650,336","8,393,696,512","8,393,696,512","1,017,411,584","8,393,696,512","1,266,679,808","113,605,650,336","111,384,389,404","6,199,989,709","681,154","36,615,512,625","37,915",1,52,0,0,0,customized,0,0,1,1,1,1,2025-11-28 11:03:31,2025-11-28 11:03:34
20251128_100334_00030_abi74,query_15.sql,6,"3,098","605,016","9,701",89,92,0,"9,612","146,990,857,963,776","29,042,604,672","29,042,604,672","3,100,802,304","29,042,604,672","4,243,587,072","146,990,857,963,776","146,610,115,586","7,649,989,734","242,324","15,112,886,876","12,644",20,"3,919",0,0,0,customized,0,0,1,1,20,20,2025-11-28 11:03:34,2025-11-28 11:03:43
20251128_100343_00031_abi74,query_16.sql,8,"1,255","261,878","4,511",107,109,0,"4,404","39,181,496,952,864","20,897,841,856","20,897,841,856","1,763,352,576","20,897,841,856","3,038,773,248","39,181,496,952,864","13,984,270,461","1,010,000,000","53,399","3,100,037,788","3,856","27,840","1,352,988",0,0,0,customized,0,0,1,1,"27,840","27,840",2025-11-28 11:03:43,2025-11-28 11:03:48
20251128_100348_00032_abi74,query_17.sql,6,"4,014","2,241,783","33,413",88,90,0,"33,325","391,995,201,579,328","13,581,221,888","13,581,221,888","1,738,268,928","13,581,221,888","1,998,585,856","391,995,201,579,328","157,897,007,021","12,199,979,418","70,433","4,725,615,988","5,442",1,52,0,0,0,customized,0,0,1,1,1,1,2025-11-28 11:03:48,2025-11-28 11:04:21
20251128_100421_00033_abi74,query_18.sql,8,"5,132","1,782,028","32,459",104,107,0,"32,355","743,057,229,266,016","73,867,418,752","73,867,418,752","7,160,721,408","73,867,418,752","10,132,389,888","743,057,229,266,016","138,267,253,733","13,649,979,418","77,589","4,259,750,878","7,659",100,"5,946",0,0,0,customized,0,0,1,1,100,100,2025-11-28 11:04:21,2025-11-28 11:04:54
20251128_100454_00034_abi74,query_19.sql,3,"2,026","93,845","9,254",93,95,0,"9,161","12,050,334,523,936","1,994,875,392","1,994,875,392","265,715,008","1,994,875,392","333,447,168","12,050,334,523,936","110,875,918,792","6,199,989,709","1,181,479","11,981,404,667","66,066",1,52,0,0,0,customized,0,0,1,1,1,1,2025-11-28 11:04:54,2025-11-28 11:05:03
20251128_100503_00035_abi74,query_20.sql,11,"3,186","605,433","9,604",146,149,0,"9,458","89,781,598,349,376","17,790,112,000","17,790,112,000","2,262,295,808","17,790,112,000","2,566,914,048","89,781,598,349,376","133,203,719,940","7,009,989,734","220,013","13,869,608,490","11,578","112,013","5,716,647",0,0,0,customized,0,0,1,1,"112,013","112,013",2025-11-28 11:05:03,2025-11-28 11:05:13
20251128_100513_00036_abi74,query_21.sql,9,"6,810","3,008,116","44,153",163,166,0,"43,990","7,083,905,188,423,072","251,255,885,184","251,255,885,184","31,488,129,152","251,255,885,184","33,042,726,912","7,083,905,188,423,072","322,423,515,323","19,509,969,152","107,184","7,302,414,679","6,485",100,"3,071",0,0,0,customized,0,0,1,1,100,100,2025-11-28 11:05:13,2025-11-28 11:05:57
20251128_100557_00037_abi74,query_22.sql,8,"1,505","348,647","4,632",112,115,0,"4,520","22,790,417,512,000","10,674,680,064","10,674,680,064","1,280,983,296","10,674,680,064","1,681,915,904","22,790,417,512,000","21,625,317,195","1,800,000,000","62,026","4,668,678,151","5,162",7,244,0,0,0,customized,0,0,1,1,7,7,2025-11-28 11:05:57,2025-11-28 11:06:02
