queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,8690,2025-11-26T10:29:58.437Z,20251126_102958_00000_yrgin,8.69s,FINISHED
Q10,sf1000,41190,2025-11-26T10:37:48.627Z,20251126_103748_00009_yrgin,41.19s,FINISHED
Q11,sf1000,15630,2025-10-10T10:39:44.370Z,20251010_103944_00010_xwxwm,15.63s,FINISHED
Q12,sf1000,20440,2025-11-26T10:38:38.626Z,20251126_103838_00011_yrgin,20.44s,FINISHED
Q13,sf1000,13070,2025-11-26T10:39:02.879Z,20251126_103902_00012_yrgin,13.07s,FINISHED
Q14,sf1000,9050,2025-11-26T10:39:19.769Z,20251126_103919_00013_yrgin,9.05s,FINISHED
Q15,sf1000,40110,2025-11-26T10:39:32.650Z,20251126_103932_00014_yrgin,40.11s,FINISHED
Q16,sf1000,9500,2025-11-26T10:40:16.603Z,20251126_104016_00015_yrgin,9.50s,FINISHED
Q17,sf1000,91200,2025-11-26T10:44:20.391Z,20251126_104420_00016_yrgin,1.52m,FINISHED
Q18,sf1000,51470,2025-11-26T10:45:55.276Z,20251126_104555_00017_yrgin,51.47s,FINISHED
Q19,sf1000,5010,2025-11-26T10:46:50.604Z,20251126_104650_00018_yrgin,5.01s,FINISHED
Q2,sf1000,19670,2025-11-26T10:30:10.992Z,20251126_103010_00001_yrgin,19.67s,FINISHED
Q20,sf1000,14510,2025-10-10T10:48:45.361Z,20251010_104845_00019_xwxwm,14.51s,FINISHED
Q21,sf1000,75600,2025-11-26T10:47:04.237Z,20251126_104704_00020_yrgin,1.26m,FINISHED
Q22,sf1000,6330,2025-11-26T10:48:23.762Z,20251126_104823_00021_yrgin,6.33s,FINISHED
Q3,sf1000,34500,2025-11-26T10:30:34.476Z,20251126_103034_00002_yrgin,34.50s,FINISHED
Q4,sf1000,7560,2025-11-26T10:31:12.786Z,20251126_103112_00003_yrgin,7.56s,FINISHED
Q5,sf1000,70199,2025-11-26T10:31:24.179Z,20251126_103124_00004_yrgin,1.17m,FINISHED
Q6,sf1000,2570,2025-11-26T10:32:38.245Z,20251126_103238_00005_yrgin,2.57s,FINISHED
Q7,sf1000,35350,2025-11-26T10:32:44.640Z,20251126_103244_00006_yrgin,35.35s,FINISHED
Q8,sf1000,90600,2025-11-26T10:33:23.822Z,20251126_103323_00007_yrgin,1.51m,FINISHED
Q9,sf1000,166200,2025-11-26T10:34:58.462Z,20251126_103458_00008_yrgin,2.77m,FINISHED
