queryName,scaleFactor,timeMillsecs,queryStats.createTime,queryId,queryStats.elapsedTime,state
Q1,sf1000,10510,2025-11-25T08:43:26.537Z,20251125_084326_00000_tpy6n,10.51s,FINISHED
Q10,sf1000,48970,2025-11-25T08:52:13.657Z,20251125_085213_00009_tpy6n,48.97s,FINISHED
Q11,sf1000,15630,2025-10-10T10:39:44.370Z,20251010_103944_00010_xwxwm,15.63s,FINISHED
Q12,sf1000,25090,2025-11-25T08:53:11.937Z,20251125_085311_00011_tpy6n,25.09s,FINISHED
Q13,sf1000,14950,2025-11-25T08:53:40.825Z,20251125_085340_00012_tpy6n,14.95s,FINISHED
Q14,sf1000,17320,2025-11-25T08:53:59.577Z,20251125_085359_00013_tpy6n,17.32s,FINISHED
Q15,sf1000,45480,2025-11-25T08:54:20.690Z,20251125_085420_00014_tpy6n,45.48s,FINISHED
Q16,sf1000,11620,2025-11-25T08:55:09.965Z,20251125_085509_00015_tpy6n,11.62s,FINISHED
Q17,sf1000,104400,2025-11-25T08:55:25.596Z,20251125_085525_00016_tpy6n,1.74m,FINISHED
Q18,sf1000,78000,2025-11-25T08:57:13.557Z,20251125_085713_00017_tpy6n,1.30m,FINISHED
Q19,sf1000,24460,2025-11-25T08:58:35.245Z,20251125_085835_00018_tpy6n,24.46s,FINISHED
Q2,sf1000,20280,2025-11-25T08:43:40.904Z,20251125_084340_00001_tpy6n,20.28s,FINISHED
Q20,sf1000,14510,2025-10-10T10:48:45.361Z,20251010_104845_00019_xwxwm,14.51s,FINISHED
Q21,sf1000,88200,2025-11-25T08:59:08.806Z,20251125_085908_00020_tpy6n,1.47m,FINISHED
Q22,sf1000,7430,2025-11-25T09:00:40.718Z,20251125_090040_00021_tpy6n,7.43s,FINISHED
Q3,sf1000,43210,2025-11-25T08:44:05.008Z,20251125_084404_00002_tpy6n,43.21s,FINISHED
Q4,sf1000,10350,2025-11-25T08:44:52.001Z,20251125_084451_00003_tpy6n,10.35s,FINISHED
Q5,sf1000,77400,2025-11-25T08:45:06.182Z,20251125_084506_00004_tpy6n,1.29m,FINISHED
Q6,sf1000,7280,2025-11-25T08:46:27.542Z,20251125_084627_00005_tpy6n,7.28s,FINISHED
Q7,sf1000,45120,2025-11-25T08:46:38.629Z,20251125_084638_00006_tpy6n,45.12s,FINISHED
Q8,sf1000,100800,2025-11-25T08:47:27.574Z,20251125_084727_00007_tpy6n,1.68m,FINISHED
Q9,sf1000,177600,2025-11-25T08:49:12.165Z,20251125_084912_00008_tpy6n,2.96m,FINISHED
